Word	Declension	Gender	CaseNum	Case	Num	TotFreq	LatSuf	Declined	0	1	2	3	4	5	6	7	8	9	10
84	aestus:Acc.Pl	4	m	Acc.Pl	Acc	Pl	105	ūs	aestūs	us	os	o	o	o	o	o	o	o	o	o
85	aestus:Gen.Sg	4	m	Gen.Sg	Gen	Sg	105	ūs	aestūs	us	os	os	os	o	o	o	o	o	os	os
86	aestus:Gen.Pl	4	m	Gen.Pl	Gen	Pl	105	uum	aestuum	u	es	es	es	es	es	es	es	es	es	es
87	aestus:Abl.Sg	4	m	Abl.Sg	Abl	Sg	105	ū	aestū	u	os	o	o	o	o	o	o	o	o	o
88	aestus:Nom.Pl	4	m	Nom.Pl	Nom	Pl	105	ūs	aestūs	us	os	os	o	o	o	o	o	o	o	o
89	aestus:Acc.Sg	4	m	Acc.Sg	Acc	Sg	105	um	aestum	o	os	o	o	o	o	o	o	o	o	o
90	aestus:Dat.Pl	4	m	Dat.Pl	Dat	Pl	105	ibus	aestibus	ebos	es	es	es	es	es	es	es	es	es	es
91	aetas:Nom.Sg	3	f	Nom.Sg	Nom	Sg	418		aetās		es	es	es	es	es	es	es	es	es	es
92	aetas:Abl.Pl	3	f	Abl.Pl	Abl	Pl	418	ibus	aetātibus	ebos	es	es	es	es	es	es	es	es	es	es
93	aetas:Dat.Sg	3	f	Dat.Sg	Dat	Sg	418	ī	aetātī	i	es	es	es	es	es	es	es	es	es	es
94	aetas:Acc.Pl	3	f	Acc.Pl	Acc	Pl	418	ēs	aetātēs	es	es	es	es	es	es	es	es	es	es	es
95	aetas:Gen.Sg	3	f	Gen.Sg	Gen	Sg	418	is	aetātis	es	es	es	es	es	es	es	es	es	es	es
96	aetas:Gen.Pl	3	f	Gen.Pl	Gen	Pl	418	um	aetātum	o	es	es	es	es	es	es	es	es	es	es
97	aetas:Abl.Sg	3	f	Abl.Sg	Abl	Sg	418	e	aetāte	e	es	es	es	es	es	es	es	es	es	es
98	aetas:Nom.Pl	3	f	Nom.Pl	Nom	Pl	418	ēs	aetātēs	es	es	es	es	es	es	es	es	es	es	es
99	aetas:Acc.Sg	3	f	Acc.Sg	Acc	Sg	418	em	aetātem	e	es	es	es	es	es	es	es	es	es	es
100	aetas:Dat.Pl	3	f	Dat.Pl	Dat	Pl	418	ibus	aetātibus	ebos	es	es	es	es	es	es	es	es	es	es
101	aevum:Nom.Sg	2	n	Nom.Sg	Nom	Sg	91	um	aevum	o	o	o	o	o	o	o	o	o	o	o
102	aevum:Abl.Pl	2	n	Abl.Pl	Abl	Pl	91	īs	aevīs	is	s	o	o	o	o	o	o	o	o	o
103	aevum:Dat.Sg	2	n	Dat.Sg	Dat	Sg	91	ō	aevō	o	s	o	o	o	o	o	o	o	o	o
104	aevum:Acc.Pl	2	n	Acc.Pl	Acc	Pl	91	a	aeva	a	as	o	o	o	o	o	o	o	o	o
105	aevum:Gen.Sg	2	n	Gen.Sg	Gen	Sg	91	ī	aevī	i	s	o	o	o	o	o	o	o	o	o
106	aevum:Gen.Pl	2	n	Gen.Pl	Gen	Pl	91	ōrum	aevōrum	oro	s	es	es	es	es	es	es	es	o	o
107	aevum:Abl.Sg	2	n	Abl.Sg	Abl	Sg	91	ō	aevō	o	o	o	o	o	o	o	o	o	o	o
