Word	Declined	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14
aestas:Dat.Pl	aestātibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus
aestus:Nom.Sg	aestus	us	us	us	us	us	us	us	us	us	ēbus	us	us	us	us	us
aestus:Abl.Pl	aestibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus
aestus:Dat.Sg	aestuī	uī	uī	ī	um	um	um	um	uum	um	uum	um	um	um	um	um
aestus:Acc.Pl	aestūs	ūs	ūs	ūs	us	us	us	us	us	us	us	us	us	us	us	us
aestus:Gen.Sg	aestūs	ūs	ūs	us	ūs	us	us	us	us	us	us	us	us	us	us	us
aestus:Gen.Pl	aestuum	uum	um	um	um	um	um	um	um	um	ū	um	um	um	um	um
aestus:Abl.Sg	aestū	ū	ū	NULL	ū	ū	ū	NULL	ū	ū	ū	ī	ī	ī	ī	ī
aestus:Nom.Pl	aestūs	ūs	ūs	us	us	us	us	us	us	us	us	us	us	us	us	us
aestus:Acc.Sg	aestum	um	um	um	um	um	um	um	um	um	um	uum	uum	um	um	um
aestus:Dat.Pl	aestibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus
aetas:Nom.Sg	aetās	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
aetas:Abl.Pl	aetātibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus
aetas:Dat.Sg	aetātī	ī	ī	ī	ī	ī	ī	ōs	ī	ū	ī	ī	ī	ī	ī	ī
aetas:Acc.Pl	aetātēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
