Word	Declined	0	1	2	3	4	5	6	7	8	9	10
aetas:Acc.Sg	aetātem	em	uum	um	um	um	um	um	um	um	um	um
aetas:Dat.Pl	aetātibus	ibus	ibus	ibus	uī	ibus	ibus	ibus	ibus	ibus	ibus	ibus
aevum:Nom.Sg	aevum	um	um	um	um	um	um	um	um	um	um	um
aevum:Abl.Pl	aevīs	īs	īs	īs	a	a	a	a	a	is	a	a
aevum:Dat.Sg	aevō	ō	ō	ō	ōrum	ōrum	ōrum	ōrum	ū	um	ū	ēs
aevum:Acc.Pl	aeva	a	a	a	a	a	a	a	a	a	a	a
aevum:Gen.Sg	aevī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī
aevum:Gen.Pl	aevōrum	ōrum	am	uī	um	um	um	um	um	um	um	um
aevum:Abl.Sg	aevō	ō	ō	ō	ō	ō	ōrum	ōrum	ō	e	e	e
aevum:Nom.Pl	aeva	a	a	a	a	a	a	a	a	a	a	a
aevum:Acc.Sg	aevum	um	um	um	um	um	um	um	um	um	um	um
aevum:Dat.Pl	aevīs	īs	īs	īs	a	a	īs	us	a	is	ēī	us
affectus:Nom.Sg	affectus	us	ōs	ibus	uī	ibus	uī	ibus	ibus	ī	ī	ī
affectus:Abl.Pl	affectibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus
affectus:Dat.Sg	affectuī	uī	ū	ū	ī	ī	ī	ī	ī	ī	ī	ī
affectus:Acc.Pl	affectūs	ūs	ūs	ūs	us	ī	us	us	us	us	ī	ī
affectus:Gen.Sg	affectūs	ūs	ūs	ūs	ēī	ērum	is	ērum	ūs	N/A	ī	ī
affectus:Gen.Pl	affectuum	uum	ū	ū	ī	ī	ī	ī	ī	ī	ī	ī
affectus:Abl.Sg	affectū	ū	ū	ū	ū	ī	ī	ī	ī	ī	ī	ī
affectus:Nom.Pl	affectūs	ūs	ūs	ūs	ēī	us	us	us	us	a	ī	ī
affectus:Acc.Sg	affectum	um	um	um	um	um	um	um	um	um	um	um
affectus:Dat.Pl	affectibus	ibus	ibus	ibus	uī	ī	ī	ibus	ibus	ibus	ibus	ibus
ager:Nom.Sg	ager	NULL	ūs	us	ī	ū	ōrum	ōrum	a	a	a	ōrum
ager:Abl.Pl	agrīs	īs	īs	īs	a	a	a	a	a	a	a	a
ager:Dat.Sg	agrō	ō	ō	ūs	ōrum	ōrum	ēs	ēs	um	ū	ū	ī
ager:Acc.Pl	agrōs	ōs	ūs	ūs	ōrum	ēs	ēs	ēs	ēs	ēs	ēs	ēs
ager:Gen.Sg	agrī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī
ager:Gen.Pl	agrōrum	ōrum	am	uī	um	um	um	um	um	um	um	ū
ager:Abl.Sg	agrō	ō	ō	ō	ōrum	ōrum	ōrum	ō	ō	e	e	e
ager:Nom.Pl	agrī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī
ager:Acc.Sg	agrum	um	um	um	um	um	um	um	um	um	um	um
ager:Dat.Pl	agrīs	īs	īs	ae	a	a	us	us	us	a	ēī	us
agger:Nom.Sg	agger	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
agger:Abl.Pl	aggeribus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus
agger:Dat.Sg	aggerī	ī	ī	ū	ī	ī	ī	ī	ī	ī	ī	ī
agger:Acc.Pl	aggerēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
agger:Gen.Sg	aggeris	is	is	is	is	is	is	is	is	is	is	īs
agger:Gen.Pl	aggerum	um	um	um	um	um	um	um	um	um	um	um
agger:Abl.Sg	aggere	e	e	e	e	e	e	e	e	e	e	e
agger:Nom.Pl	aggerēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
agger:Acc.Sg	aggerem	em	uum	um	um	um	um	um	um	um	um	um
agger:Dat.Pl	aggeribus	ibus	ibus	ibus	uī	uī	ibus	ibus	ibus	ibus	ibus	ibus
agmen:Nom.Sg	agmen	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
agmen:Abl.Pl	agminibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus
agmen:Dat.Sg	agminī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī
agmen:Acc.Pl	agmina	a	a	a	a	a	a	a	a	a	a	a
agmen:Gen.Sg	agminis	is	is	is	is	is	is	is	is	is	is	īs
agmen:Gen.Pl	agminum	um	um	um	um	um	um	um	um	um	um	um
agmen:Abl.Sg	agmine	e	e	e	e	e	e	e	e	e	e	e
agmen:Nom.Pl	agmina	a	a	a	a	a	a	a	a	a	a	a
agmen:Acc.Sg	agmen	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
agmen:Dat.Pl	agminibus	ibus	ibus	ibus	uī	uī	ibus	ibus	ibus	ibus	ibus	ibus
ala:Nom.Sg	āla	a	a	a	a	a	a	a	a	a	a	a
ala:Abl.Pl	ālīs	īs	īs	īs	is	is	is	is	is	is	īs	a
ala:Dat.Sg	ālae	ae	ae	ae	N/A	a	a	a	a	a	a	a
ala:Acc.Pl	ālās	ās	ās	ās	ās	am	ōrum	ōrum	ēs	ēs	ēs	ēs
ala:Gen.Sg	ālae	ae	ae	ae	N/A	a	a	a	a	a	a	a
ala:Gen.Pl	ālārum	ārum	ārum	ārum	um	am	am	ōrum	um	um	um	um
ala:Abl.Sg	ālā	ā	ā	ās	ās	am	ās	ō	e	e	e	e
