Word	Declined	0	1
aqua:Abl.Pl	aquīs	īs	īs
aqua:Dat.Sg	aquae	ae	e
aqua:Acc.Pl	aquās	ās	ās
aqua:Gen.Sg	aquae	ae	e
aqua:Gen.Pl	aquārum	ārum	ās
aqua:Abl.Sg	aquā	ā	ās
aqua:Nom.Pl	aquae	ae	a
aqua:Acc.Sg	aquam	am	ōrum
aqua:Dat.Pl	aquīs	īs	īs
ara:Nom.Sg	āra	a	a
ara:Abl.Pl	ārīs	īs	īs
ara:Dat.Sg	ārae	ae	a
ara:Acc.Pl	ārās	ās	ās
ara:Gen.Sg	ārae	ae	a
ara:Gen.Pl	ārārum	ārum	ās
ara:Abl.Sg	ārā	ā	ā
ara:Nom.Pl	ārae	ae	a
ara:Acc.Sg	āram	am	ēs
ara:Dat.Pl	ārīs	īs	īs
arbiter:Nom.Sg	arbiter	NULL	ēs
arbiter:Abl.Pl	arbitrīs	īs	īs
arbiter:Dat.Sg	arbitrō	ō	ō
arbiter:Acc.Pl	arbitrōs	ōs	ūs
arbiter:Gen.Sg	arbitrī	ī	ī
arbiter:Gen.Pl	arbitrōrum	ōrum	ōrum
arbiter:Abl.Sg	arbitrō	ō	ō
arbiter:Nom.Pl	arbitrī	ī	ī
arbiter:Acc.Sg	arbitrum	um	um
arbiter:Dat.Pl	arbitrīs	īs	īs
arbitrium:Nom.Sg	arbitrium	um	um
arbitrium:Abl.Pl	arbitriīs	īs	īs
arbitrium:Dat.Sg	arbitriō	ō	ō
arbitrium:Acc.Pl	arbitria	a	a
arbitrium:Gen.Sg	arbitriī	ī	ī
arbitrium:Gen.Pl	arbitriōrum	ōrum	ēs
arbitrium:Abl.Sg	arbitriō	ō	em
arbitrium:Nom.Pl	arbitria	a	a
arbitrium:Acc.Sg	arbitrium	um	um
arbitrium:Dat.Pl	arbitriīs	īs	īs
arbor:Nom.Sg	arbor	NULL	NULL
arbor:Abl.Pl	arboribus	ibus	ibus
arbor:Dat.Sg	arborī	ī	ī
arbor:Acc.Pl	arborēs	ēs	ēs
arbor:Gen.Sg	arboris	is	is
arbor:Gen.Pl	arborum	um	ēs
arbor:Abl.Sg	arbore	e	e
arbor:Nom.Pl	arborēs	ēs	ēs
arbor:Acc.Sg	arborem	em	em
arbor:Dat.Pl	arboribus	ibus	ibus
arcus:Nom.Sg	arcus	us	us
arcus:Abl.Pl	arcubus	ubus	ibus
arcus:Dat.Sg	arcuī	uī	um
arcus:Acc.Pl	arcūs	ūs	us
arcus:Gen.Sg	arcūs	ūs	ūs
arcus:Gen.Pl	arcuum	uum	ēs
arcus:Abl.Sg	arcū	ū	ū
arcus:Nom.Pl	arcūs	ūs	us
arcus:Acc.Sg	arcum	um	um
arcus:Dat.Pl	arcubus	ubus	ibus
arena:Nom.Sg	arēna	a	a
arena:Abl.Pl	arēnīs	īs	īs
arena:Dat.Sg	arēnae	ae	a
arena:Acc.Pl	arēnās	ās	ās
arena:Gen.Sg	arēnae	ae	a
arena:Gen.Pl	arēnārum	ārum	ās
arena:Abl.Sg	arēnā	ā	ās
arena:Nom.Pl	arēnae	ae	a
arena:Acc.Sg	arēnam	am	ōrum
arena:Dat.Pl	arēnīs	īs	īs
argentum:Nom.Sg	argentum	um	um
argentum:Abl.Pl	argentīs	īs	īs
argentum:Dat.Sg	argentō	ō	ō
argentum:Acc.Pl	argenta	a	a
argentum:Gen.Sg	argentī	ī	ī
argentum:Gen.Pl	argentōrum	ōrum	ēs
argentum:Abl.Sg	argentō	ō	em
argentum:Nom.Pl	argenta	a	a
argentum:Acc.Sg	argentum	um	um
argentum:Dat.Pl	argentīs	īs	īs
arma:Nom.Sg	N/AN/A	N/A	N/A
arma:Abl.Pl	armīs	īs	īs
