Word	Declension	Gender	Case	TotFreq	Declined	0	1	2	3	4	5	6	7	8	9	10
aevum:Nom.Sg	2	n	Nom.Sg	91	aevum	um	um	um	um	um	um	um	um	um	um	um
aevum:Abl.Pl	2	n	Abl.Pl	91	aevīs	īs	īs	īs	īs	īs	īs	is	s	s	s	
aevum:Dat.Sg	2	n	Dat.Sg	91	aevō	ō		i	e	em	ī	ī	īs	īs	īs	īs
aevum:Acc.Pl	2	n	Acc.Pl	91	aeva	a	a	a	a	a	a	a	as	as	as	as
aevum:Gen.Sg	2	n	Gen.Sg	91	aevī	ī	ī	īs	īs	īs	īs	īs	īs	īs	īs	īs
aevum:Gen.Pl	2	n	Gen.Pl	91	aevōrum	ōrum	omrm		u	u	u	u	u	u	u	u
aevum:Abl.Sg	2	n	Abl.Sg	91	aevō	ō	ō	ō	ō	ō	ō	ō	ō	ō	ō	ō
aevum:Nom.Pl	2	n	Nom.Pl	91	aeva	a	a	as	as	as	as	as	as	as	as	as
aevum:Acc.Sg	2	n	Acc.Sg	91	aevum	um	um	um	um	um	um	um	um	um	um	um
aevum:Dat.Pl	2	n	Dat.Pl	91	aevīs	īs	īs	īs	īs	is	s	as	u	au	au	u
affectus:Nom.Sg	4	m	Nom.Sg	185	affectus	us	u	u	u	u	u	u	u	u	u	u
affectus:Abl.Pl	4	m	Abl.Pl	185	affectibus	ibus	ibus	uu	uu	uu	umu	uu	uu	u	u	
affectus:Dat.Sg	4	m	Dat.Sg	185	affectuī	uī	u	u			u		u	u	u	u
affectus:Acc.Pl	4	m	Acc.Pl	185	affectūs	ūs	us	us	us	us	us		u	o	o	
affectus:Gen.Sg	4	m	Gen.Sg	185	affectūs	ūs	ūs	us	us	us	u	us	us	u	u	u
affectus:Gen.Pl	4	m	Gen.Pl	185	affectuum	uum	uu	imu	mu	imu	imu	imu	iu	iu	iu	iu
affectus:Abl.Sg	4	m	Abl.Sg	185	affectū	ū	ū	uo	ō	ō	ō	ō	ō	ō	ō	ō
affectus:Nom.Pl	4	m	Nom.Pl	185	affectūs	ūs	us	us	us	us	us	us	u	u	o	
affectus:Acc.Sg	4	m	Acc.Sg	185	affectum	um	um	um	um	um	u	u	u	u	u	u
affectus:Dat.Pl	4	m	Dat.Pl	185	affectibus	ibus	ibus	iu	iu	iu	iu	iu	iu	iu	iu	iu
ager:Nom.Sg	2	m	Nom.Sg	337	ager		u	u	u	u	u	u	u	u	u	u
ager:Abl.Pl	2	m	Abl.Pl	337	agrīs	īs	īs	īs	īs	īs	īs	īs	īs	is	is	i
ager:Dat.Sg	2	m	Dat.Sg	337	agrō	ō	u	i	e	e	īs	īs	īs	īs	īs	īs
ager:Acc.Pl	2	m	Acc.Pl	337	agrōs	ōs	os	s	s	s	s	s	s	s	s	s
ager:Gen.Sg	2	m	Gen.Sg	337	agrī	ī	ī	īs	īs	īs	īs	īs	īs	īs	īs	īs
ager:Gen.Pl	2	m	Gen.Pl	337	agrōrum	ōrum	orum	iu	iu	iu	iu	iu	iu	iu	iu	iu
ager:Abl.Sg	2	m	Abl.Sg	337	agrō	ō	ō	ō	ō	ō	ō	ō	ō	ō	ō	ō
ager:Nom.Pl	2	m	Nom.Pl	337	agrī	ī	es	es	s	s	is	is	is	is	is	s
ager:Acc.Sg	2	m	Acc.Sg	337	agrum	um	um	um	um	um	um	um	um	um	um	um
ager:Dat.Pl	2	m	Dat.Pl	337	agrīs	īs	īs	īs	īs	īs	īs	īs	iu	iu	iu	iu
agger:Nom.Sg	3	m	Nom.Sg	76	agger											
agger:Abl.Pl	3	m	Abl.Pl	76	aggeribus	ibus	ibus	iu	iu	iu	iu	iu	iu	iu	iu	iu
agger:Dat.Sg	3	m	Dat.Sg	76	aggerī	ī	i	e	e	e	eis	īs	īs	īs	īs	īs
agger:Acc.Pl	3	m	Acc.Pl	76	aggerēs	ēs	ēs	ēs	ēs	eis	eis	eis	eis	eis	eis	eis
agger:Gen.Sg	3	m	Gen.Sg	76	aggeris	is	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs
agger:Gen.Pl	3	m	Gen.Pl	76	aggerum	um	mu	mu	mu	imu	imu	imu	iu	iu	iu	iu
agger:Abl.Sg	3	m	Abl.Sg	76	aggere	e	e	e	e	e	e	e	e	e	e	e
agger:Nom.Pl	3	m	Nom.Pl	76	aggerēs	ēs	ēs	ēs	ēs	īs	īs	īs	īs	īs	īs	īs
agger:Acc.Sg	3	m	Acc.Sg	76	aggerem	em	em	em	em	em	em	em	em	em	em	em
agger:Dat.Pl	3	m	Dat.Pl	76	aggeribus	ibus	ibus	iu	iu	iu	iu	iu	iu	iu	iu	iu
agmen:Nom.Sg	3	n	Nom.Sg	360	agmen											
agmen:Abl.Pl	3	n	Abl.Pl	360	agminibus	ibus	ibus	iu	iu	iu	iu	iu	iu	iu	iu	u
agmen:Dat.Sg	3	n	Dat.Sg	360	agminī	ī	i	e	e	e	īs	īs	īs	īs	īs	īs
agmen:Acc.Pl	3	n	Acc.Pl	360	agmina	a	a	a	a	a	a	as	as	as	as	as
agmen:Gen.Sg	3	n	Gen.Sg	360	agminis	is	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs
agmen:Gen.Pl	3	n	Gen.Pl	360	agminum	um	mu	mu	mu	mu	imu	imu	iu	iu	iu	u
agmen:Abl.Sg	3	n	Abl.Sg	360	agmine	e	e	e	e	e	e	e	e	e	e	e
agmen:Nom.Pl	3	n	Nom.Pl	360	agmina	a	a	a	as	as	as	s	s	s	s	s
agmen:Acc.Sg	3	n	Acc.Sg	360	agmen		m	m	m	m	m	m	m	m	m	m
agmen:Dat.Pl	3	n	Dat.Pl	360	agminibus	ibus	ibus	u	u	u	u	u	u	u	u	u
ala:Nom.Sg	1	f	Nom.Sg	73	āla	a	a	a	a	a	a	a	a	a	a	a
ala:Abl.Pl	1	f	Abl.Pl	73	ālīs	īs	īs	īs	s	s	as	a	a	a	a	a
ala:Dat.Sg	1	f	Dat.Sg	73	ālae	ae	a	a	a	a	a	as	as	as	as	as
ala:Acc.Pl	1	f	Acc.Pl	73	ālās	ās	as	as	as	as	as	as	as	as	as	as
ala:Gen.Sg	1	f	Gen.Sg	73	ālae	ae	ae	as	as	as	a	as	as	as	as	as
ala:Gen.Pl	1	f	Gen.Pl	73	ālārum	ārum	amrum	au	au	au	au	au	au	au	au	asu
ala:Abl.Sg	1	f	Abl.Sg	73	ālā	ā	a	a	a	a	a	a	a	a	a	a
ala:Nom.Pl	1	f	Nom.Pl	73	ālae	ae	ae	aes	as	as	as	as	as	as	as	as
ala:Acc.Sg	1	f	Acc.Sg	73	ālam	am	am	am	am	am	am	am	am	am	am	am
ala:Dat.Pl	1	f	Dat.Pl	73	ālīs	īs	ies	s	as	as	as	a	au	au	au	asu
altum:Nom.Sg	2	n	Nom.Sg	96	altum	um	um	um	um	um	um	um	um	um	um	um
altum:Abl.Pl	2	n	Abl.Pl	96	altīs	īs	īs	īs	īs	īs	īs	īs	s	s	s	u
altum:Dat.Sg	2	n	Dat.Sg	96	altō	ō		i	i	em	ī	ī	īs	īs	īs	īs
altum:Acc.Pl	2	n	Acc.Pl	96	alta	a	a	a	a	a	a	a	as	as	as	as
altum:Gen.Sg	2	n	Gen.Sg	96	altī	ī	ī	īs	īs	īs	īs	īs	īs	īs	īs	īs
