Word	Declension	Gender	Case	TotFreq	LatSuf	Declined	0	1	2	3	4	5	6	7	8	9	10
aestus:Gen.Pl	4	m	Gen.Pl	105	uum	aestuum	u	īu	ei								
aestus:Abl.Sg	4	m	Abl.Sg	105	ū	aestū	u	u	u	u	u	u	u	u	u	u	u
aestus:Nom.Pl	4	m	Nom.Pl	105	ūs	aestūs	ui	i	i						u	u	u
aestus:Acc.Sg	4	m	Acc.Sg	105	um	aestum	u	u	u	u	u	u	u	u	u	u	u
aestus:Dat.Pl	4	m	Dat.Pl	105	ibus	aestibus	eui	i	i								
aetas:Nom.Sg	3	f	Nom.Sg	418		aetās											
aetas:Abl.Pl	3	f	Abl.Pl	418	ibus	aetātibus	eui	e	e	e	e	e	e	e	e	e	e
aetas:Dat.Sg	3	f	Dat.Sg	418	ī	aetātī	i	e	e	ea	ea	ea	ea	ea	ea	ea	ea
aetas:Acc.Pl	3	f	Acc.Pl	418	ēs	aetātēs	ei	ei	ei	e	e	e	e	e	e	e	e
aetas:Gen.Sg	3	f	Gen.Sg	418	is	aetātis	ei	e	e	e	e	e	e	e	e	e	e
aetas:Gen.Pl	3	f	Gen.Pl	418	um	aetātum	u	eiu	ei	ei	ei	ei	e	e	e	e	e
aetas:Abl.Sg	3	f	Abl.Sg	418	e	aetāte	ea	ea	ea	ea	ea	ea	ea	ea	ea	ea	ea
aetas:Nom.Pl	3	f	Nom.Pl	418	ēs	aetātēs	ei	i	ei	e	e	e	e	e	e	e	e
aetas:Acc.Sg	3	f	Acc.Sg	418	em	aetātem	ea	ea	ea	ea	ea	ea	ea	ea	ea	ea	ea
aetas:Dat.Pl	3	f	Dat.Pl	418	ibus	aetātibus	eui	ei	ei	ei	ei	ei	e	e	e	e	e
aevum:Nom.Sg	2	n	Nom.Sg	91	um	aevum	u	u	u	u	u	u	u	u	u	u	u
aevum:Abl.Pl	2	n	Abl.Pl	91	īs	aevīs	ī										
aevum:Dat.Sg	2	n	Dat.Sg	91	ō	aevō	u	u		u	u	u	u	u	u	u	u
aevum:Acc.Pl	2	n	Acc.Pl	91	a	aeva	a										
aevum:Gen.Sg	2	n	Gen.Sg	91	ī	aevī	i				u	u	u	u	u	u	u
aevum:Gen.Pl	2	n	Gen.Pl	91	ōrum	aevōrum	oru	eu	e								
aevum:Abl.Sg	2	n	Abl.Sg	91	ō	aevō	u	u	u	u	u	u	u	u	u	u	u
aevum:Nom.Pl	2	n	Nom.Pl	91	a	aeva	a								u		
aevum:Acc.Sg	2	n	Acc.Sg	91	um	aevum	u	u	u	u	u	u	u	u	u	u	u
aevum:Dat.Pl	2	n	Dat.Pl	91	īs	aevīs	ī										
affectus:Nom.Sg	4	m	Nom.Sg	185	us	affectus	ui	u	u	u	u	u	u	u	u	u	u
affectus:Abl.Pl	4	m	Abl.Pl	185	ibus	affectibus	eui	i	i								
affectus:Dat.Sg	4	m	Dat.Sg	185	uī	affectuī	ui	u	u	u	u	u	u	u	u	u	u
affectus:Acc.Pl	4	m	Acc.Pl	185	ūs	affectūs	ui	i	i								
affectus:Gen.Sg	4	m	Gen.Sg	185	ūs	affectūs	ui	u	u	u	u	u	u	u	u	u	u
affectus:Gen.Pl	4	m	Gen.Pl	185	uum	affectuum	u	iu	i								
affectus:Abl.Sg	4	m	Abl.Sg	185	ū	affectū	u	u	u	u	u	u	u	u	u	u	u
affectus:Nom.Pl	4	m	Nom.Pl	185	ūs	affectūs	ui	i	i						u	u	u
affectus:Acc.Sg	4	m	Acc.Sg	185	um	affectum	u	u	u	u	u	u	u	u	u	u	u
affectus:Dat.Pl	4	m	Dat.Pl	185	ibus	affectibus	eui	i	i								
ager:Nom.Sg	2	m	Nom.Sg	337		ager		u	u	u	u	u	u	u	u	u	u
ager:Abl.Pl	2	m	Abl.Pl	337	īs	agrīs	ī	iu									
ager:Dat.Sg	2	m	Dat.Sg	337	ō	agrō	u	u			u	u	u	u	u	u	u
ager:Acc.Pl	2	m	Acc.Pl	337	ōs	agrōs	ui	i	i								
ager:Gen.Sg	2	m	Gen.Sg	337	ī	agrī	i				u	u	u	u	u	u	u
ager:Gen.Pl	2	m	Gen.Pl	337	ōrum	agrōrum	oru	iu	ei	ei							
ager:Abl.Sg	2	m	Abl.Sg	337	ō	agrō	u	u	u	u	u	u	u	u	u	u	u
ager:Nom.Pl	2	m	Nom.Pl	337	ī	agrī	i	i	i								
ager:Acc.Sg	2	m	Acc.Sg	337	um	agrum	u	u	u	u	u	u	u	u	u	u	u
ager:Dat.Pl	2	m	Dat.Pl	337	īs	agrīs	ī	iu	ei	ei							
agger:Nom.Sg	3	m	Nom.Sg	76		agger											
agger:Abl.Pl	3	m	Abl.Pl	76	ibus	aggeribus	eui	e	e	e	e	e	e	e	e	e	e
agger:Dat.Sg	3	m	Dat.Sg	76	ī	aggerī	i	e	e	ea	ea	ea	ea	ea	ea	ea	ea
agger:Acc.Pl	3	m	Acc.Pl	76	ēs	aggerēs	ei	ei	ei	e	e	e	e	e	e	e	e
agger:Gen.Sg	3	m	Gen.Sg	76	is	aggeris	ei	e	e	e							
agger:Gen.Pl	3	m	Gen.Pl	76	um	aggerum	u	eiu	ei	ei	ei	ei	e	e	e	e	e
agger:Abl.Sg	3	m	Abl.Sg	76	e	aggere	ea	ea	ea	ea	ea	ea	ea	ea	ea	ea	ea
agger:Nom.Pl	3	m	Nom.Pl	76	ēs	aggerēs	ei	i	ei	e	e	e	e	e	e	e	e
agger:Acc.Sg	3	m	Acc.Sg	76	em	aggerem	ea	ea	ea	ea	ea	ea	ea	ea	ea	ea	ea
agger:Dat.Pl	3	m	Dat.Pl	76	ibus	aggeribus	eui	ei	ei	ei	ei	ei	e	e	e	e	e
agmen:Nom.Sg	3	n	Nom.Sg	360		agmen											
agmen:Abl.Pl	3	n	Abl.Pl	360	ibus	agminibus	eui	e					e	e	e	e	e
agmen:Dat.Sg	3	n	Dat.Sg	360	ī	agminī	i	e	e								
agmen:Acc.Pl	3	n	Acc.Pl	360	a	agmina	a						e	e	e	e	e
agmen:Gen.Sg	3	n	Gen.Sg	360	is	agminis	ei	e	e								
agmen:Gen.Pl	3	n	Gen.Pl	360	um	agminum	u	e	e	ei	ei	i	e	e	e	e	e
agmen:Abl.Sg	3	n	Abl.Sg	360	e	agmine	ea	e									
agmen:Nom.Pl	3	n	Nom.Pl	360	a	agmina	a						e	e	e	e	e
agmen:Acc.Sg	3	n	Acc.Sg	360		agmen											
agmen:Dat.Pl	3	n	Dat.Pl	360	ibus	agminibus	eui	e	e	ei	ei	e	e	e	e	e	e
ala:Nom.Sg	1	f	Nom.Sg	73	a	āla	a	a	a	a	a	a	a	a	a	a	a
ala:Abl.Pl	1	f	Abl.Pl	73	īs	ālīs	ī	a	a	ai	ai	ai	ai	ai	ai	ai	ai
ala:Dat.Sg	1	f	Dat.Sg	73	ae	ālae	ea	e	e	e	e	e	e	e	e	e	e
ala:Acc.Pl	1	f	Acc.Pl	73	ās	ālās	ai	ai	ai	ai	ai	ai	ai	ai	ai	ai	ai
ala:Gen.Sg	1	f	Gen.Sg	73	ae	ālae	ea	e	e	e	e	e	e	e	e	e	e
ala:Gen.Pl	1	f	Gen.Pl	73	ārum	ālārum	aru	eu	ei	ei	ei	ei	e	e	e	e	e
ala:Abl.Sg	1	f	Abl.Sg	73	ā	ālā	a	a	a	a	a	a	a	a	a	a	a
ala:Nom.Pl	1	f	Nom.Pl	73	ae	ālae	ea	a	ai	ai	ai	ai	ai	ai	ai	a	ai
ala:Acc.Sg	1	f	Acc.Sg	73	am	ālam	a	a	a	a	a	a	a	a	a	a	a
ala:Dat.Pl	1	f	Dat.Pl	73	īs	ālīs	ī	e	ei	ei	ei	ei	e	e	e	e	e
altum:Nom.Sg	2	n	Nom.Sg	96	um	altum	u	u	u	u	u	u	u	u	u	u	u
altum:Abl.Pl	2	n	Abl.Pl	96	īs	altīs	ī										
altum:Dat.Sg	2	n	Dat.Sg	96	ō	altō	u	u		u	u	u	u	u	u	u	u
altum:Acc.Pl	2	n	Acc.Pl	96	a	alta	a										
altum:Gen.Sg	2	n	Gen.Sg	96	ī	altī	i				u	u	u	u	u	u	u
altum:Gen.Pl	2	n	Gen.Pl	96	ōrum	altōrum	oru	u	e	e							
altum:Abl.Sg	2	n	Abl.Sg	96	ō	altō	u	u	u	u	u	u	u	u	u	u	u
altum:Nom.Pl	2	n	Nom.Pl	96	a	alta	a										
altum:Acc.Sg	2	n	Acc.Sg	96	um	altum	u	u	u	u	u	u	u	u	u	u	u
altum:Dat.Pl	2	n	Dat.Pl	96	īs	altīs	ī										
amica:Nom.Sg	1	f	Nom.Sg	564	a	amīca	a	a	a	a	a	a	a	a	a	a	a
amica:Abl.Pl	1	f	Abl.Pl	564	īs	amīcīs	ī	u	a	ai	ai	ai	ai	ai	ai	ai	ai
amica:Dat.Sg	1	f	Dat.Sg	564	ae	amīcae	ea	e	e	e	e	e	e	e	e	e	e
amica:Acc.Pl	1	f	Acc.Pl	564	ās	amīcās	ai	ai	ai	ai	ai	ai	ai	ai	ai	ai	ai
amica:Gen.Sg	1	f	Gen.Sg	564	ae	amīcae	ea	e	e	e	e	e	e	e	e	e	e
amica:Gen.Pl	1	f	Gen.Pl	564	ārum	amīcārum	aru	eu	e	ei	ei	ei	e	e	e	e	e
amica:Abl.Sg	1	f	Abl.Sg	564	ā	amīcā	a	a	a	a	a	a	a	a	a	a	a
amica:Nom.Pl	1	f	Nom.Pl	564	ae	amīcae	ea	a	ai	ai	ai	ai	ai	ai	ai	ai	ai
amica:Acc.Sg	1	f	Acc.Sg	564	am	amīcam	a	a	a	a	a	a	a	a	a	a	a
amica:Dat.Pl	1	f	Dat.Pl	564	īs	amīcīs	ī	eu	ei	ei	ei	ei	e	e	e	e	e
amicus:Nom.Sg	2	m	Nom.Sg	564	us	amīcus	ui	u	u	u	u	u	u	u	u	u	u
amicus:Abl.Pl	2	m	Abl.Pl	564	īs	amīcīs	ī	iu									
amicus:Dat.Sg	2	m	Dat.Sg	564	ō	amīcō	u	u			u	u	u	u	u	u	u
amicus:Acc.Pl	2	m	Acc.Pl	564	ōs	amīcōs	ui	i	i								
amicus:Gen.Sg	2	m	Gen.Sg	564	ī	amīcī	i				u	u	u	u	u	u	u
amicus:Gen.Pl	2	m	Gen.Pl	564	ōrum	amīcōrum	oru	iu	e	ei							
amicus:Abl.Sg	2	m	Abl.Sg	564	ō	amīcō	u	u	u	u	u	u	u	u	u	u	u
amicus:Nom.Pl	2	m	Nom.Pl	564	ī	amīcī	i	i	i								
amicus:Acc.Sg	2	m	Acc.Sg	564	um	amīcum	u	ui	u	u	u	u	u	u	u	u	u
amicus:Dat.Pl	2	m	Dat.Pl	564	īs	amīcīs	ī	iu	ei	ei					e	e	e
amnis:Nom.Sg	3	m	Nom.Sg	244	is	amnis	ei										
amnis:Abl.Pl	3	m	Abl.Pl	244	ibus	amnibus	eui	eu	e	e	e	e	e	e	e	e	e
amnis:Dat.Sg	3	m	Dat.Sg	244	ī	amnī	i	e	e	ea	ea	ea	ea	ea	ea	ea	ea
amnis:Acc.Pl	3	m	Acc.Pl	244	ēs	amnēs	ei	ei	ei	e	e	e	e	e	e	e	e
amnis:Gen.Sg	3	m	Gen.Sg	244	is	amnis	ei	ei	e	e							
amnis:Gen.Pl	3	m	Gen.Pl	244	ium	amnium	eu	eiu	ei	ei	ei	ei	e	e	e	e	e
amnis:Abl.Sg	3	m	Abl.Sg	244	e	amne	ea	ea	ea	ea	ea	ea	ea	ea	ea	ea	ea
amnis:Nom.Pl	3	m	Nom.Pl	244	ēs	amnēs	ei	i	i	e	e	e	e	e	e	e	e
amnis:Acc.Sg	3	m	Acc.Sg	244	em	amnem	ea	ea	ea	ea	ea	ea	ea	ea	ea	ea	ea
amnis:Dat.Pl	3	m	Dat.Pl	244	ibus	amnibus	eui	eiu	ei	ei	ei	ei	e	e	e	e	e
amor:Nom.Sg	3	m	Nom.Sg	539		amor											
amor:Abl.Pl	3	m	Abl.Pl	539	ibus	amōribus	eui	eu	e	e	e	e	e	e	e	e	e
amor:Dat.Sg	3	m	Dat.Sg	539	ī	amōrī	i	e	e	ea	ea	ea	ea	ea	ea	ea	ea
amor:Acc.Pl	3	m	Acc.Pl	539	ēs	amōrēs	ei	ei	ei	e	e	e	e	e	e	e	e
amor:Gen.Sg	3	m	Gen.Sg	539	is	amōris	ei	e	e	e		e					
amor:Gen.Pl	3	m	Gen.Pl	539	um	amōrum	u	eu	ei	ei	ei	ei	e	e	e	e	e
amor:Abl.Sg	3	m	Abl.Sg	539	e	amōre	ea	ea	ea	ea	ea	ea	ea	ea	ea	ea	ea
amor:Nom.Pl	3	m	Nom.Pl	539	ēs	amōrēs	ei	i	i	e	e	e	e	e	e	e	e
amor:Acc.Sg	3	m	Acc.Sg	539	em	amōrem	ea	ea	ea	ea	ea	ea	ea	ea	ea	ea	ea
amor:Dat.Pl	3	m	Dat.Pl	539	ibus	amōribus	eui	eiu	ei	ei	ei	ei	e	e	e	e	e
anima:Nom.Sg	1	f	Nom.Sg	182	a	anima	a	a	a	a	a	a	a	a	a	a	a
anima:Abl.Pl	1	f	Abl.Pl	182	īs	animīs	ī	a	a	ai	ai	ai	ai	ai	ai	ai	ai
anima:Dat.Sg	1	f	Dat.Sg	182	ae	animae	ea	e	e	e	e	e	e	e	e	e	e
anima:Acc.Pl	1	f	Acc.Pl	182	ās	animās	ai	ai	ai	ai	ai	ai	ai	ai	ai	ai	ai
anima:Gen.Sg	1	f	Gen.Sg	182	ae	animae	ea	e	e	e	e	e	e	e	e	e	e
anima:Gen.Pl	1	f	Gen.Pl	182	ārum	animārum	aru	eu	ei	ei	ei	ei	e	e	e	e	e
anima:Abl.Sg	1	f	Abl.Sg	182	ā	animā	a	a	a	a	a	a	a	a	a	a	a
anima:Nom.Pl	1	f	Nom.Pl	182	ae	animae	ea	a	ai	ai	ai	ai	ai	ai	ai	ai	ai
anima:Acc.Sg	1	f	Acc.Sg	182	am	animam	a	a	a	a	a	a	a	a	a	a	a
anima:Dat.Pl	1	f	Dat.Pl	182	īs	animīs	ī	e	ei	ei	ei	ei	e	e	e	e	e
animal:Nom.Sg	3	n	Nom.Sg	307		animal											
animal:Abl.Pl	3	n	Abl.Pl	307	ibus	animālibus	eui	e					e	e	e	e	e
animal:Dat.Sg	3	n	Dat.Sg	307	ī	animālī	i	e	e								
