Word	Declension	Gender	Case	TotFreq	LatSuf	Declined	0	1	2	3	4	5	6	7	8	9	10
affectus:Dat.Sg	4	m	Dat.Sg	185	uī	affectuī	oi	o	us	s							
affectus:Acc.Pl	4	m	Acc.Pl	185	ūs	affectūs	us	us	us	s	s	s	es	es	es	es	es
affectus:Gen.Sg	4	m	Gen.Sg	185	ūs	affectūs	us	us	us	us							
affectus:Gen.Pl	4	m	Gen.Pl	185	uum	affectuum	u	s	es	es	es	es	es	es	es	es	es
affectus:Abl.Sg	4	m	Abl.Sg	185	ū	affectū	u	o	o	o	o	o	o	o	o	o	o
affectus:Nom.Pl	4	m	Nom.Pl	185	ūs	affectūs	us	s	us	us	s	s			e	e	es
affectus:Acc.Sg	4	m	Acc.Sg	185	um	affectum	o	o	o	o	o	o	o	o	o	o	o
affectus:Dat.Pl	4	m	Dat.Pl	185	ibus	affectibus	ebos	s	es	es	es	es	es	es	es	es	es
ager:Nom.Sg	2	m	Nom.Sg	337		ager		os	o	o	o	o	o	o	o	o	o
ager:Abl.Pl	2	m	Abl.Pl	337	īs	agrīs	is	is	is	es	es	es	es	es	es	es	es
ager:Dat.Sg	2	m	Dat.Sg	337	ō	agrō	o	o			e	e	e				
ager:Acc.Pl	2	m	Acc.Pl	337	ōs	agrōs	os	s	s	s	s	es	es	es	es	es	es
ager:Gen.Sg	2	m	Gen.Sg	337	ī	agrī	i	i	s								
ager:Gen.Pl	2	m	Gen.Pl	337	ōrum	agrōrum	oro	s	es	es	es	es	es	es	es	es	es
ager:Abl.Sg	2	m	Abl.Sg	337	ō	agrō	o	o	o	o	o	o	o	o	o	o	o
ager:Nom.Pl	2	m	Nom.Pl	337	ī	agrī	i	s	s	s	s	s				es	es
ager:Acc.Sg	2	m	Acc.Sg	337	um	agrum	o	o	o	o	o	o	o	o	o	o	o
ager:Dat.Pl	2	m	Dat.Pl	337	īs	agrīs	is	es	es	es	es	es	es	es	es	es	es
agger:Nom.Sg	3	m	Nom.Sg	76		agger											
agger:Abl.Pl	3	m	Abl.Pl	76	ibus	aggeribus	ebos	es	es	es	es	es	es	es	es	es	es
agger:Dat.Sg	3	m	Dat.Sg	76	ī	aggerī	i	e	es	es	es	es	es	es	es	es	es
agger:Acc.Pl	3	m	Acc.Pl	76	ēs	aggerēs	es	es	es	es	es	es	es	es	es	es	es
agger:Gen.Sg	3	m	Gen.Sg	76	is	aggeris	es	es	es	es	es	es	es	es	es	es	es
agger:Gen.Pl	3	m	Gen.Pl	76	um	aggerum	o	es	es	es	es	es	es	es	es	es	es
agger:Abl.Sg	3	m	Abl.Sg	76	e	aggere	e	e	e	e	e	e	e	e	e	e	e
agger:Nom.Pl	3	m	Nom.Pl	76	ēs	aggerēs	es	es	es	es	es	es	es	es	es	es	es
agger:Acc.Sg	3	m	Acc.Sg	76	em	aggerem	e	e	e	e	e	e	e	e	e	e	e
agger:Dat.Pl	3	m	Dat.Pl	76	ibus	aggeribus	ebos	es	es	es	es	es	es	es	es	es	es
agmen:Nom.Sg	3	n	Nom.Sg	360		agmen											
agmen:Abl.Pl	3	n	Abl.Pl	360	ibus	agminibus	ebos	es	es	e	as	as	as	as	as	as	as
agmen:Dat.Sg	3	n	Dat.Sg	360	ī	agminī	i	e	e	e	e	es	es	es	es	es	es
agmen:Acc.Pl	3	n	Acc.Pl	360	a	agmina	a	a	a	a	as	as	as	as	as	as	as
agmen:Gen.Sg	3	n	Gen.Sg	360	is	agminis	es	e	e	e	e	es	es	es	es	es	es
agmen:Gen.Pl	3	n	Gen.Pl	360	um	agminum	o	as	as	e	es	es	es	es	es	es	es
agmen:Abl.Sg	3	n	Abl.Sg	360	e	agmine	e	e	e	e	e	e					
agmen:Nom.Pl	3	n	Nom.Pl	360	a	agmina	a	a	a	a	as	as	as	as	as	as	as
agmen:Acc.Sg	3	n	Acc.Sg	360		agmen											
agmen:Dat.Pl	3	n	Dat.Pl	360	ibus	agminibus	ebos	a	as	e	es	es	es	es	es	es	es
ala:Nom.Sg	1	f	Nom.Sg	73	a	āla	a	a	a	a	a	a	a	a	a	a	a
ala:Abl.Pl	1	f	Abl.Pl	73	īs	ālīs	is	s	s	as	as	as	as	as	as	as	as
ala:Dat.Sg	1	f	Dat.Sg	73	ae	ālae	e	e	e	es	es	es	es	es	es	es	es
ala:Acc.Pl	1	f	Acc.Pl	73	ās	ālās	as	as	as	as	as	as	as	as	as	as	as
ala:Gen.Sg	1	f	Gen.Sg	73	ae	ālae	e	e	e	e	es	es	es	es	es	es	es
ala:Gen.Pl	1	f	Gen.Pl	73	ārum	ālārum	aro	es	es	es	es	es	es	es	es	es	es
ala:Abl.Sg	1	f	Abl.Sg	73	ā	ālā	a	a	a	a	a	a	a	a	a	a	a
ala:Nom.Pl	1	f	Nom.Pl	73	ae	ālae	e	as	as	as	as	as	as	as	as	as	as
ala:Acc.Sg	1	f	Acc.Sg	73	am	ālam	a	a	a	a	a	a	a	a	a	a	a
ala:Dat.Pl	1	f	Dat.Pl	73	īs	ālīs	is	s	es	es	es	es	es	es	es	es	es
altum:Nom.Sg	2	n	Nom.Sg	96	um	altum	o	o	o	o	o	o	o	o	o	o	o
altum:Abl.Pl	2	n	Abl.Pl	96	īs	altīs	is	es	e			a	a	a	a	as	as
altum:Dat.Sg	2	n	Dat.Sg	96	ō	altō	o	o		e	e	e					
altum:Acc.Pl	2	n	Acc.Pl	96	a	alta	a	a	a	a	a	a	a	a	a	as	as
altum:Gen.Sg	2	n	Gen.Sg	96	ī	altī	i	i									
altum:Gen.Pl	2	n	Gen.Pl	96	ōrum	altōrum	oro	s	s	e	es	es	es	es	es	es	es
altum:Abl.Sg	2	n	Abl.Sg	96	ō	altō	o	o	o	o	o	o	o	o	o	o	o
altum:Nom.Pl	2	n	Nom.Pl	96	a	alta	a	a	a	a		a	a	a	a	a	a
altum:Acc.Sg	2	n	Acc.Sg	96	um	altum	o	o	o	o	o	o	o	o	o	o	o
altum:Dat.Pl	2	n	Dat.Pl	96	īs	altīs	is		a	e	es	es	es	es	es	es	es
amica:Nom.Sg	1	f	Nom.Sg	564	a	amīca	a	a	a	a	a	a	a	a	a	a	a
amica:Abl.Pl	1	f	Abl.Pl	564	īs	amīcīs	is	s	s	as	as	as	as	as	as	as	as
amica:Dat.Sg	1	f	Dat.Sg	564	ae	amīcae	e	e	es	es	es	es	es	es	es	es	es
amica:Acc.Pl	1	f	Acc.Pl	564	ās	amīcās	as	as	as	as	as	as	as	as	as	as	as
amica:Gen.Sg	1	f	Gen.Sg	564	ae	amīcae	e	e	es	es	es	es	es	es	es	es	es
