Word	Declension	Gender	Case	TotFreq	LatSuf	Declined	0	1	2	3	4	5	6	7	8	9	10
aetas:Abl.Sg	3	f	Abl.Sg	418	e	aetāte	e	e	e	e	e	e	e	e	e	e	e
aetas:Nom.Pl	3	f	Nom.Pl	418	ēs	aetātēs	ei	ei	ei	ei	ei	ei	ei	ei	ei	ei	ei
aetas:Acc.Sg	3	f	Acc.Sg	418	em	aetātem	e	e	e	e	e	e	e	e	e	e	e
aetas:Dat.Pl	3	f	Dat.Pl	418	ibus	aetātibus	eboi	ei	ei	ei	ei	ei	ei	ei	ei	ei	ei
aevum:Nom.Sg	2	n	Nom.Sg	91	um	aevum	o	o	o	o	o	o	o	o	o	o	o
aevum:Abl.Pl	2	n	Abl.Pl	91	īs	aevīs	ī	i	i	i	ai	ai	ai	ai	ai	ai	ai
aevum:Dat.Sg	2	n	Dat.Sg	91	ō	aevō	o	e	e	e	e	e	e	e	e	ei	ei
aevum:Acc.Pl	2	n	Acc.Pl	91	a	aeva	a	a	ai	ai	ai	ai	ai	ai	ai	ai	ai
aevum:Gen.Sg	2	n	Gen.Sg	91	ī	aevī	i	e	e	e	e	e	e	e	e	ei	ei
aevum:Gen.Pl	2	n	Gen.Pl	91	ōrum	aevōrum	oro		ei	ei	ei	ei	ei	ei	ei	ei	ei
aevum:Abl.Sg	2	n	Abl.Sg	91	ō	aevō	o	o	o	o	o	o	o	o	o	o	o
aevum:Nom.Pl	2	n	Nom.Pl	91	a	aeva	a	ai	ai	i	ai	ai	ai	ai	ai	ai	ai
aevum:Acc.Sg	2	n	Acc.Sg	91	um	aevum	o	o	o	o	o	o	o	o	o	o	o
aevum:Dat.Pl	2	n	Dat.Pl	91	īs	aevīs	ī		ei	ei	ei	ei	ei	ei	ei	ei	ei
affectus:Nom.Sg	4	m	Nom.Sg	185	us	affectus	oi	oi	oi	oi	oi	oi	oi	oi	oi	o	o
affectus:Abl.Pl	4	m	Abl.Pl	185	ibus	affectibus	eboi	i	oi	oi	oi	i	ei	ei	ei	ei	ei
affectus:Dat.Sg	4	m	Dat.Sg	185	uī	affectuī	oi	i	oi	ei	ei	ei	ei	ei	ei	ei	ei
affectus:Acc.Pl	4	m	Acc.Pl	185	ūs	affectūs	ui	oi	oi	oi	oi	i	ei	ei	ei	ei	ei
affectus:Gen.Sg	4	m	Gen.Sg	185	ūs	affectūs	ui	oi	oi	ei	ei	ei	ei	ei	ei	ei	ei
affectus:Gen.Pl	4	m	Gen.Pl	185	uum	affectuum	u	oi	i	ei	ei	ei	ei	ei	ei	ei	ei
affectus:Abl.Sg	4	m	Abl.Sg	185	ū	affectū	u	oi	oi	oi	oi	oi	oi	oi	oi	o	o
affectus:Nom.Pl	4	m	Nom.Pl	185	ūs	affectūs	ui	oi	oi	oi	oi	i	ei	ei	ei	ei	ei
affectus:Acc.Sg	4	m	Acc.Sg	185	um	affectum	o	oi	oi	oi	oi	oi	oi	oi	oi	o	o
affectus:Dat.Pl	4	m	Dat.Pl	185	ibus	affectibus	eboi	i	i	ei	ei	ei	ei	ei	ei	ei	ei
ager:Nom.Sg	2	m	Nom.Sg	337		ager		o	o	o	o	o	o	o	o	o	o
ager:Abl.Pl	2	m	Abl.Pl	337	īs	agrīs	ī	i	i	i	i	ai	ai	ai	ai	ai	ai
ager:Dat.Sg	2	m	Dat.Sg	337	ō	agrō	o		o	e	e	e	e	e	e	ei	ei
ager:Acc.Pl	2	m	Acc.Pl	337	ōs	agrōs	oi	i	i	i	i	ai	ai	ai	ai	ai	ai
