Latin	LatGender	LatDec	nomsg	nompl	gensg	genpl	accsg	accpl	English	RomGender	RomSg	RomPl	OldRom	OldestRom	OrigLang	UnsureCog?	ChangedMean	SlWordt	SlavGender	SlNote	NewWord?	PageNo	LatinExist?	NounExist?	MultipleNouns?	Is Second Noun a homophone?	MaxFreq	MaxFreq10k	MinFreq	MinFreq10k
mundus	m	2	mundus	mundī	mundī	mundōrum	mundum	mundōs	universe		-							*mirъ, *světъ	m, m	*mirъ also means 'peace', *světъ also means 'light'		40236	Yes	Yes	No		?	?	?	?
munus	n	3	mūnus	mūnera	mūneris	mūnerum	mūnus	mūnera	office, service, duty		-							*činъ, *sanъ	m, m			53139	Yes	Yes	No		199	3.205	45	0.725
murra	f	1	murra	murrae	murrae	murrārum	murram	murrās	myrrh-tree	n	mir	miruri			s					no psl. word		319659	Yes	Yes	No		39	0.628	0	0
murus	m	2	mūrus	mūrī	mūrī	mūrōrum	mūrum	mūrōs	wall		-							*zidъ	m			216798	Yes	Yes	No		474	7.634	84	1.353
musca	f	1	musca	muscae	muscae	muscārum	muscam	muscās	fly	f	muscă   	muște			l			*muxa	f			266750	Yes	Yes	No		15	0.242	7	0.113
nasus	m	2	nāsus	nāsī	nāsī	nāsōrum	nāsum	nāsōs	nose	n	nas	nasuri			l			*nosъ	m			265871	Yes	Yes	No		9	0.145	0	0
navis	f	3	nāvis	nāvēs	nāvis	nāvium	nāvim/nāvem*	nāvīs/nāvēs*	ship	f	navă	nave			f, l, i			*oldi, *korabь	f, m	boat'; slavs knew no ships		38490	Yes	Yes	No		242	3.897	8	0.129
negotio	n	2	negōtium	negōtia	negōtiī	negōtiōrum	negōtium	negōtia	business	n	negoț	negoțuri			l		business, commerce					228195	Yes	Yes	No		55	0.886	9	0.145
nepos	mh	3	nepōs	nepōtēs	nepōtis	nepōtum	nepōtem	nepōtēs	grandson	m	nepot	nepoți			l		nephew, grandson	*vъnukъ	m	(natural gender)		53394	Yes	Yes	No		37	0.596	7	0.113
neptis	fh	3	neptis	neptēs	neptis	neptium	neptim/neptem	neptīs/neptēs	female descendant, granddaughter	f	nepoată	nepoate		nepoata	l		niece, granddaughter	*nestera	f		*	2795402	Yes	Yes	No		1	0.016	1	0.016
nives	f	3	nix	nivēs	nivis	nivum	nivem	nivēs	snow		-							*sněgъ	m			38249	Yes	Yes	No		37	0.596	19	0.306
nomen	n	3	nōmen	nōmina	nōminis	nōminum	nōmen	nōmina	name	n	nume	nume			l			*jьmę	n			46494	Yes	Yes	No		1,893	30.486	423	6.812
nox	f	3	nox	noctēs	noctis	noctium	noctem	noctēs*/noctīs	night	f	noapte	nopți			l			*noktь	f			46471	Yes	Yes	No		371	5.975	371	5.975
nubilum	f	3	nūbēs	nūbēs	nūbis	nūbium	nūbem	nūbēs*/nūbīs	cloud, clouds	m	nor	nori			l			*obolkъ	m			270375	Yes	Yes	No		3	0.048	0	0
numerus	m	2	numerus	numerī	numerī	numerōrum	numerum	numerōs	number	n	număr	numere			l			*čislo, *čismę, *brojь	n, n, m	*brojь is essentially ssl. only (but the other two are found widely in ssl. too). all are deverbatives: the ones based on *či(t)- are derived from the verb *čisti 'to count' and *brojь is from a verb meaning 'to cut' (> 'to mark' > 'to count')		934622	Yes	Yes	No		291	4.686	159	2.561
nurus	fh	4	nurus	nurūs	nurūs	nuruum	nurum	nurūs	daughter-in-law	f	noră   	nurori			l			*snъxa	f	(natural gender)		1998876	Yes	Yes	No		17	0.274	17	0.274
nux	f	3	nux	nucēs	nucis	nucum	nucem	nucēs	nut	f	nucă	nuci		nuca	l			*orěxъ	m		*	38492	Yes	Yes	No		?	?	?	?
obitus	m	4	obitus	obitūs	obitūs	obituum	obitum	obitūs	visit, meet													2738603	Yes	Yes	No		29	0.467	9	0.145
obolus	m	2	obolus	obolī	obolī	obolōrum	obolum	obolōs	Greek coin	m, n	obol	oboli, oboluri			f, l		borrowings			no psl. word		268380	Yes	Yes	No		5	0.081	5	0.081
occidens	m	3	occidēns	occidēntēs	occidēntis	occidēntum	occidēntem	occidēntēs	sunset, west	n	occident	occidenturi			f, l		borrowing?	*zapadъ, *zaxodъ	m, m			2410751	Yes	Yes	No		204	3.285	0	0
oculus	m	2	oculus	oculī	oculī	oculōrum	oculum	oculōs	eye	m	ochi	ochi			l			*oko	n			48962	Yes	Yes	No		731	11.773	683	11
odor	m	3	odor	odōrēs	odōris	odōrum	odōrem	odōrēs	smell		-							*vonja	f			50766	Yes	Yes	No		152	2.448	16	0.258
officia	n	2	officium	officia	officiī	officiōrum	officium	officia	services (PL)	n	oficiu	oficii			l, g, f		office, service					214814	Yes	Yes	No		47	0.757	21	0.338
oleum	n	2	oleum	olea	oleī	oleōrum	oleum	olea	oil	n	ulei	uleiuri			b			*maslo, *olějь	n, m			269082	Yes	Yes	No		285	4.59	121	1.949
olivetum	n	2	olīvētum	olīvēta	olīvētī	olīvētōrum	olīvētum	olīvēta	olive grove, olive orchard													2797168	Yes	Yes	No		32	0.515	10	0.161
opera	f	1	opera	operai	operai	operārum	operam	operās	work, labor, service, effort	f	operă	opere			l, i		labor, service, opera	*orbota, *trudъ, *dělo	f, m, n			58174	Yes	Yes	Yes		913	14.704	13	0.209
opinio	f	3	opīniō	opīniōnēs	opīniōnis	opīniōnum	opīniōnem	opīniōnēs	opinion	f	opinie	opinii			l, f					(abstract)		1454791	Yes	Yes	No		3	0.048	3	0.048
oppidum	n	2	oppidum	oppida	oppidī	oppidōrum	oppidum	oppida	town		-							*gordъ	m			1028117	Yes	Yes	No		59	0.95	39	0.628
ora	f	1	ōra	ōrae	ōrae	ōrārum	ōram	ōrās	extremity, end, boundary		-							*konьcь; *krajь	m, m			71534	Yes	Yes	Yes		299	4.815	8	0.129
orator	m	3	ōrātor	ōrātōrēs	ōrātōris	ōrātōrum	ōrātōrem	ōrātōrēs	speaker	m	orator	oratori			l, f				m	(natural gender)		84339	Yes	Yes	No		1	0.016	1	0.016
orbis	m	3	orbis	orbēs	orbis	orbium	orbem	orbīs/orbēs	ring, circle, orbit	f	orbită	orbite			f, l			*krǫgъ, *kolo	m, n			265509	Yes	Yes	No		176	2.834	0	0
ordo	m	3	ōrdō	ōrdinēs	ōrdinis	ōrdinum	ōrdinem	ōrdinēs	row, line	n, f	ordin, ordine	ordine, ordini			l, f; l, i		order, command, decree	*rędъ, *vьrsta	m, f			93790	Yes	Yes	No		137	2.206	37	0.596
oriens	m	3	oriēns	orientēs	orientis	orientum	orientem	orientēs	east, rising sun	n	orient	orienturi			f, l, g		borrowing?	*vъstok, *vъsxodъ	m, m			2554458	Yes	Yes	No		212	3.414	0	0
os	n	3	ōs	ōra	ōris	ōrum	ōs	ōra	bone	n	os	oase			l			*kostь	f			1869	Yes	Yes	Yes		491	7.907	23	0.37
ostium	n	2	ostium	ostia	ostiī	ostiōrum	ostium	ostia	door, entrance	f	ușă	uși			l			*dvьrь; *vorta	f, n	*vorta is a plurale tantum (neuter plural)		209364	Yes	Yes	No		320	5.154	18	0.29
ovis	f	3	ovis	ovēs	ovis	ovium	ovem	ovīs/ovēs	sheep	f	oaie	oi			l			*ovьca	f			221055	Yes	Yes	No		382	6.152	84	1.353
pala	f	1	pāla	pālae	pālae	pālārum	pālam	pālās	spade	f	pală	pale			?		amount of hay that can be cut from one swish of a blade	*lopata	f			55968	Yes	Yes	No		104	1.675	0	0
palea	f	1	palea	paleae	paleae	paleārum	paleam	paleās	chaff	f	pleavă	pleve			s			*pelva	f			414172	Yes	Yes	No		20	0.322	18	0.29
pallium	n	2	pallium	pallia	palliī	palliōrum	pallium	pallia	cover													240092	Yes	Yes	No		49	0.789	49	0.789
palma	f	1	palma	palmae	palmae	palmārum	palmam	palmās	palm	m	palmier	palmieri			f			*dolnь	f			215931	Yes	Yes	Yes		127	2.045	0	0
panis	m	3	pānis	pānēs	pānis	pānum	pānem	pānēs	bread	f	pâine  	pâini			l			*xlěbъ	m			103826	Yes	Yes	No		492	7.924	290	4.67
par	m	3	pār	pāres	pāris	pārum	pārem	pāres	?													50820	Yes	No	No		82	1.321	3	0.048
parabola	f	1	parabola	parabolae	parabolae	parabolārum	parabolam	parabolās	parable, comparison	f	parabolă	parabole			f, l			*pritъča	f			72188	Yes	Yes	No		91	1.466	63	1.015
parens	mh	3	parēns	parentēs	parentis	parentum	parentem	parentēs	parent	m	părinte	părinţi			l				m	(natural gender)		327272	Yes	Yes	No		201	3.237	0	0
parens	fh	3	parēns	parentēs	parentis	parentum	parentem	parentēs	parent		părinte	părinţi							f	(natural gender)		327272	Yes	Yes	No		201	3.237	0	0
paries	m	3	pariēs	parietēs	parietis	parietum	parietem	parietēs	wall	m	perete	pereți	pârete	pariete	l			*zidъ; *zьdь	m, f	wall	*	191489	Yes	Yes	No		130	2.094	74	1.192
pars	f	3	pars	partēs	partis	partium	partim/partem*	partīs/partēs*	part	f	parte	părți			l			*čęstь, *dělъ	f, m			101694	Yes	Yes	No		889	14.317	361	5.814
pascuum	No info	No info	No info	No info	No info	No info	No info	No info	pasture	f	pășune	pășuni	pășiune	paʃiune	l			*pažitь	f		*	2384050	Yes	No	No		64	1.031	0	0
passer	m	3	passer	passerēs	passeris	passerum	passerem	passerēs	sparrow	f	pasăre	pasări			l		bird	*pъtica; *pъtakъ; *pъtъka	f, m, f	bird, bird, bird (came to mean duck in ssl.)	*	39020	Yes	Yes	No		26	0.419	16	0.258
passus	m	4	passus	passūs	passūs	passuum	passum	passūs	step, pace	m	pas	pași			l			*xodъ, *korkъ	m, m			217152	Yes	Yes	No		42	0.676	1	0.016
pastor	mh	3	pastor	pastōrēs	pastōris	pastōrum	pastōrem	pastōrēs	shepherd	m	păstor	păstori			l			*pastyrjь, *pastuxъ	m, m	(natural gender)		57541	Yes	Yes	No		136	2.19	94	1.514
pater	mh	3	pater	patrēs	patris	patrum	patrem	patrēs	father	m	papă	papi			l		pope	*otьcь	m	(natural gender)		38228	Yes	Yes	No		4,151	66.851	0	0
patria	f	1	patria	patriae	patriae	patriārum	patriam	patriās	country	f	patrie	patrii			l, f		home, homeland	*otьčina	f	the lat. word means 'native country', so i chose a sl. cognate for this		215243	Yes	Yes	No		99	1.594	0	0
pauper	mh	3	pauper	pauperēs	pauperis	pauperum	pauperem	pauperēs	poor person		-								m	(natural gender)		36413	Yes	No	No		320	5.154	146	2.351
pauper	fh	3	pauper	pauperēs	pauperis	pauperum	pauperem	pauperēs	poor person		-								m	(natural gender)		36413	Yes	No	No		320	5.154	146	2.351
pax	f	3	pāx	pācēs	pācis	pācum	pācem	pācēs	peace	f	pace	păci			l			*mirъ, *pokojь	m, m			45926	Yes	Yes	No		825	13.286	0	0
peccatum	n	2	peccātum	peccāta	peccātī	peccātōrum	peccātum	peccāta	sin	n	păcat	păcate			l			*grěxъ	m			1989320	Yes	Yes	No		1,558	25.091	0	0
pecten	m	3	pecten	pectinēs	pectinis	pectinum	pectinem	pectinēs	comb	m	pieptene	piepteni	pieptine	pepthine	l			*grebenь	m		*	270573	Yes	Yes	No		?	?	?	?
pectora	n	3	-	pectora	-	pectorum	-	pectora	breasts (PL)		-							*grǫdь, *pьrsь	f, f			2378753	Yes	Yes	No		17	0.274	17	0.274
pectus	n	3	pectus	pectora	pectoris	pectorum	pectus	pectora	breast	n	piept	piepturi			l		chests, piept = breast	*ědro, *grǫdь, *pьrsь	n, f, f			74776	Yes	Yes	No		17	0.274	17	0.274
pecunia	f	1	pecūnia	pecūniae	pecūniae	pecūniārum	pecūniam	pecūniās	money		-							*bolgo	n	(abstract)		210370	Yes	Yes	No		131	2.11	131	2.11
pecus	f	3	pecus	pecudēs	pecudis	pecudum	pecudem	pecudēs	cattle		-							*skotъ, *bydlo, *nuta	m, n, f			505412	Yes	Yes	Yes		345	5.556	0	0
pediculus	m	2	pedīculus	pedīculī	pedīculī	pedīculōrum	pedīculum	pedīculōs	louse	m	păduche	păduchi			l			*vьšь	f		*	1464124	Yes	Yes	Yes		?	?	?	?
pellicula	f	1	pellicula	pelliculae	pelliculae	pelliculārum	pelliculam	pelliculās	small skin, little hide		-							*koža	f			2902398	Yes	Yes	No		2	0.032	0	0
pellis	f	3	pellis	pellēs	pellis	pellium	pellem	pellēs/pellīs	skin, with a showy outside	f	piele	piei			l			*koža	f			269839	Yes	Yes	No		94	1.514	19	0.306
pelvis	f	3	pelvis	pelvēs	pelvis	pelvium	pelvim/pelvem	pelvīs/pelvēs	basin, laver	n	pelvis	pelvisuri			l							106517	Yes	Yes	No		2	0.032	2	0.032
pepon	m	3	pepō	peponēs	peponis	peponum	peponem	peponēs	pumpkin	m	pepene (verde)	pepeni			l		green melon = pumpkin	*tyky	f			279719	Yes	Yes	No		?	?	?	?
percussor	mh	3	percussor	percussōrēs	percussōris	percussōrum	percussōrem	percussōrēs	murderer, assassin		-								m	(natural gender)		1378048	Yes	Yes	No		9	0.145	9	0.145
peregrinus	mh	2	peregrīnus	peregrīnī	peregrīnī	peregrīnōrum	peregrīnum	peregrīnōs	foreign, alien	m	pelerin	pelerini			f		pilgrim		m	(natural gender)		259713	Yes	Yes	No		50	0.805	50	0.805
persicum	n	2	persicum	persica	persicī	persicōrum	persicum	persica	peach	f	piersică	piersici	piersăcă	pérseca	l			*bersky	f		*	1141879	Yes	Yes	No		?	?	?	?
persona	fh	1	persōna	persōnae	persōnae	persōnārum	persōnam	persōnās	mask	f	persoană	persoane			l, g, f		person					69798	Yes	Yes	No		85	1.369	0	0
pes	m	3	pēs	pedēs	pedis	pedum	pedem	pedēs	foot	n	picior	picioare			l		leg, foot	*stopa, *noga, *korkъ, *korka, 	f, f, m, f	*noga, *korkъ, *korka are 'leg', *stopa is 'foot'		52044	Yes	Yes	No		1,190	19.165	29	0.467
pestis	f	3	pestis	pestēs	pestis	pestium	pestem	pestēs*/pestīs	pest													40810	Yes	Yes	No		23	0.37	23	0.37
petra	f	1	petra	petrae	petrae	petrārum	petram	petrās	rock	f	piatră 	pietre			l			*kamy, *skala	m, f			54320	Yes	Yes	No		292	4.703	19	0.306
pilus	m	2	pilus	pilī	pilī	pilōrum	pilum	pilōs	hair, has not a hair of a good man about him	m	pâr	peri	peri		l			*volsъ; *kyka; *kъkъ	m, f, m		*	503046	Yes	Yes	Yes		87	1.401	0	0
pinea	f	1	pīnea	pīneai	pīneai	pīneārum	pīneam	pīneās	pine		-							*borъ	m			2800410	Yes	Yes	No		2	0.032	0	0
pinnaculum	n	2	pinnāculum	pinnācula	pinnāculī	pinnāculōrum	pinnāculum	pinnācula	pinnacle, peak		-							*vьrxъ	m			1454338	Yes	Yes	No		6	0.097	6	0.097
pinus	f	4	pīnus	pīnūs	pīnūs	pīnuum	pīnum	pīnūs	pine tree	m	pin	pini			l		pine tree	*borъ	m			270392	Yes	Yes	No		2	0.032	2	0.032
piscator	mh	3	piscātor	piscātōrēs	piscātōris	piscātōrum	piscātōrem	piscātōrēs	fisher	m	pescar	pescari			l				m	(natural gender)		2564598	Yes	Yes	No		8	0.129	8	0.129
piscis	m	3	piscis	piscēs	piscis	piscium	piscem	piscēs/piscīs	fish	m	pește	pești			l			*ryba	f			39523	Yes	Yes	No		72	1.16	72	1.16
plaga	f	1	plāga	plāgae	plāgae	plāgārum	plāgam	plāgās	blow, stroke, wound	f	plagă	plăgi			l			*razъ	m			783833	Yes	Yes	Yes		964	15.525	0	0
platea	f	1	platēa	platēae	platēae	platēārum	platēam	platēās	street	f	piaţă	piațe			i		market	*cěsta, *dorga, *ulica	f, f, f			712336	Yes	Yes	No		179	2.883	0	0
plaustra	n	2	plaustrum	plaustra	plaustrī	plaustrōrum	plaustrum	plaustra	wagons (PL)	n	plug	pluguri			s		plough	*vozъ	m	singular		2701559	Yes	Yes	No		?	?	?	?
plebs	f	3	plēbs	plēbēs	plēbis	plēbum	plēbem	plēbēs	people	m	plebeu	plebei			l		plebeian	*ljudъ	m			214394	Yes	Yes	No		110	1.772	68	1.095
plenitudo	f	3	plēnitūdō	plēnitūdinēs	plēnitūdinis	plēnitūdinum	plēnitūdinem	plēnitūdinēs	fullness	f	plenitudine	plenitudini			f, l			*pьlnostь, *obilьje	f, n	(abstract)		2590787	Yes	Yes	No		41	0.66	41	0.66
pluvia	f	1	pluvia	pluviae	pluviae	pluviārum	pluviam	pluviās	rain	f	ploaie	ploi			l			*dъzdjь	m			2876	Yes	Yes	No		144	2.319	0	0
poena	f	1	poena	poenae	poenae	poenārum	poenam	poenās	penalty		-							*kaznь	f	(abstract)		270383	Yes	Yes	No		48	0.773	2	0.032
pomum	n	2	pōmum	pōma	pōmī	pōmōrum	pōmum	pōma	apple, fruit	m	pom	pomi			l		fruit tree	*ablo, *ablъ, *ablъko, *ablъka, *ablъkъ	n, m, n, f, m			456046	Yes	Yes	No		35	0.564	9	0.145
pondus	n	3	pondus	pondera	ponderis	ponderum	pondus	pondera	weight	f	pondere	ponderi			l		weighted average, importance (not literal weight)	*bermę, *tȩgъ, *tȩga	n, m, f			55251	Yes	Yes	No		96	1.546	78	1.256
pons	m	3	pōns	pontēs	pontis	pontium	pontem	pontēs/pontīs	bridge	f	punte	punți			l			*mostъ	m		*	38489	Yes	Yes	No		21	0.338	0	0
pontus	m	2	pontus	pontī	pontī	pontōrum	pontum	pontōs	sea		-							*morje	n			1439720	Yes	Yes	No		19	0.306	0	0
populus	m	2	populus	populī	populī	populōrum	populum	populōs	people	n	popor	popoare			(l, i)			*narodъ	m			46909	Yes	Yes	Yes		5,693	91.684	0	0
porcus	m	2	porcus	porcī	porcī	porcōrum	porcum	porcōs	pig	m	porc	porci			l		pork, pig	*svinьja	f			50617	Yes	Yes	No		15	0.242	10	0.161
porta	f	1	porta	portae	portae	portārum	portam	portās	gate	f	poartă	porți			l			*dvьrь, *vorta	f, n	*vorta is a plurale tantum (neuter plural)		49413	Yes	Yes	Yes		608	9.792	226	3.64
porticus	f	4	porticus	porticūs	porticūs	porticuum	porticum	porticūs	colonnade, gallery, porch	n	portic	porticuri			f, l	?				no psl. word		2415041	Yes	Yes	No		24	0.387	24	0.387
possessio	f	3	possessiō	possessiōnēs	possessiōnis	possessiōnum	possessiōnem	possessiōnēs	possession, seizing	f	posesiune	posesiuni			f, l		thing you own			(abstract)		2211459	Yes	Yes	No		194	3.124	194	3.124
potestas	f	3	potestas	potestātēs	potestātis	potestātum	potestātem	potestātēs	power	f	putere	puteri						*moktь	f, f	(abstract)		55395	Yes	Yes	No		196	3.157	196	3.157
praeceptor	mh	3	praeceptor	praeceptōrēs	praeceptōris	praeceptōrum	praeceptōrem	praeceptōrēs	teacher, instructor	m	preceptor	preceptori			f, l				m	(natural gender)		2609521	Yes	Yes	No		23	0.37	3	0.048
praeda	f	1	praeda	praedae	praedae	praedārum	praedam	praedās	booty	f	pradă	prăzi			l		booty					457191	Yes	Yes	No		109	1.755	61	0.982
pretium	n	2	pretium	pretia	pretiī	pretiōrum	pretium	pretia	price	n	preț	prețuri			l			*cěna	f			1382437	Yes	Yes	No		102	1.643	52	0.837
primitia	f	1	prīmitia	prīmitiae	prīmitiae	prīmitiārum	prīmitiam	prīmitiās	first fruits													2621367	Yes	Yes	No		?	?	?	?
princeps	mh	3	prīnceps	prīncipēs	prīncipis	prīncipum	prīncipem	prīncipēs	foremost		-								m	(natural gender)		499452	Yes	Yes	No		1,767	28.457	0	0
processus	m	4	prōcessus	prōcessūs	prōcessūs	prōcessuum	prōcessum	prōcessūs	advance	n	proces	procese			i, f, l		trial, process			(abstract)		567712	Yes	Yes	No		115	1.852	113	1.82
propheta	mh	1	prophēta	prophētae	prophētae	prophētārum	prophētam	prophētās	prophet	m	profet	profeți			f				m	(natural gender)		842905	Yes	Yes	No		552	8.89	460	7.408
providens	mh	3	prōvidens	prōvidentēs	prōvidentis	prōvidentum	prōvidentem	prōvidentēs	foreseeing	f	providență	providențe			l, f		divine providence		m	(natural gender)		2615692	Yes	No	No		?	?	?	?
prunum	n	2	prūnum	prūna	prūnī	prūnōrum	prūnum	prūna	plum	f	prună	prune		pruna	l			*sliva	f	plum, plum-tree	*	327714	Yes	Yes	No		12	0.193	0	0
psalmus	m	2	psalmus	psalmī	psalmī	psalmōrum	psalmum	psalmōs	psalm	m	psalm	psalmi			s		borrowing?	*p(ъ)salъmъ	m	very late loanword		2474803	Yes	Yes	No		92	1.482	92	1.482
puella	fh	1	puella	puellae	puellae	puellārum	puellam	puellās	girl	f	fată	fete			l	*		*děva, *děvica	f, f	(natural gender)		39017	Yes	Yes	No		80	1.288	64	1.031
puer	mh	2	puer	puerī	puerī	puerōrum	puerum	puerōs	child		-									(natural gender) *čędo, *dětę are the words for 'child', both (n), but they don't correspond to puer 'male child, boy'		35888	Yes	Yes	No		377	6.071	295	4.751
pugna	f	1	pugna	pugnae	pugnae	pugnārum	pugnam	pugnās	fight		-							*bojь, *bornь, *kotora	m, f, f			39018	Yes	Yes	No		67	1.079	39	0.628
pugnus	m	2	pugnus	pugnī	pugnī	pugnōrum	pugnum	pugnōs	fist	m	pumn	pumni			l			*pȩstь	f		*	41212	Yes	Yes	No		8	0.129	0	0
pulex	m	3	pūlex	pūlicēs	pūlicis	pūlicum	pūlicem	pūlicēs	flea	m	purice	purici			l			*blъxa	f		*	271720	Yes	Yes	No		4	0.064	0	0
pullus	m	2	pullus	pullī	pullī	pullōrum	pullum	pullōs	young animal, offspring	m	pui	pui			l		chicken, chick, baby	*ščenȩ	n			269843	Yes	Yes	No		132	2.126	0	0
pulvis	m	3	pulvis	pulverēs	pulveris	pulverum	pulverem	pulverēs	dust, powder	f	pulbere	pulberi			l			*porxъ	m			1124362	Yes	Yes	No		148	2.383	50	0.805
pusillus	m	2	pusillus	pusillī	pusillī	pusillōrum	pusillum	pusillōs	very little													1394609	Yes	No	No		32	0.515	32	0.515
puteus	m	2	puteus	puteī	puteī	puteōrum	puteum	puteōs	well	n	puț	puțuri	puțû	putiu	l			*krinica; *krьnica	f	in e and w: spring, well; in ssl.: deep spot in river or lake, vortex, basin	*	269491	Yes	Yes	No		53	0.854	45	0.725
radix	f	3	rādīx	rādīcēs	rādīcis	rādīcum	rādīcem	rādīcēs	root	f	rădăcină  	rădăcini			l			*korę	m			60804	Yes	Yes	No		124	1.997	38	0.612
ramex	m	3	rāmex	rāmicēs	rāmicis	rāmicum	rāmicem	rāmicēs	rupture, hernia		-							*kyla	f			-1	No	No	No		?	?	?	?
ramus	m	2	rāmus	rāmī	rāmī	rāmōrum	rāmum	rāmōs	branch, twig	f	ramură 	ramuri			l			*věja, *větvь, *orslь	f			310820	Yes	Yes	No		45	0.725	45	0.725
ratio	f	3	ratiō	ratiōnēs	ratiōnis	ratiōnum	ratiōnem	ratiōnēs	reason	f	rațiune	rațiuni			l					(abstract)		69139	Yes	Yes	No		43	0.693	43	0.693
regio	f	3	regiō	regiōnēs	regiōnis	regiōnum	regiōnem	regiōnēs	direction, line, district, region	f	regiune	regiuni			f, l							603811	Yes	Yes	No		333	5.363	270	4.348
religio	f	3	religiō	religiōnēs	religiōnis	religiōnum	religiōnem	religiōnēs	religion	f	religie	religii			f, l, g							1200372	Yes	Yes	No		13	0.209	13	0.209
res	f	5	rēs	rēs	reī	rērum	rem	rēs	thing		-							*věktь	f			56222	Yes	Yes	No		632	10.178	0	0
rete	n	3	rēte	rētia	rētis	rētium	rēte	rētia	net	f	reţea  	rețele			l		network	*merža, *sětь, *teneto	f, f, n			91533	Yes	Yes	No		78	1.256	9	0.145
rex	mh	3	rēx	rēgēs	rēgis	rēgum	rēgem	rēgēs	king	m	rege	regi			l			*korljь	m	(natural gender)		38227	Yes	Yes	No		8,448	136.052	0	0
ripa	f	1	rīpa	rīpae	rīpae	rīpārum	rīpam	rīpās	bank	f	râpă	râpe	rîpâ	ripa	l			*bergъ	m		*	269946	Yes	Yes	No		19	0.306	19	0.306
ritus	m	4	rītus	rītūs	rītūs	rītuum	rītum	rītūs	rite	n	rit	rituri			grk, l, f							270325	Yes	Yes	No		38	0.612	38	0.612
rivus	m	2	rīvus	rīvī	rīvī	rīvōrum	rīvum	rīvōs	river	n	râu	râuri	rîu		l			*rěka; *struja; *tokъ	f, f, m	tokъ = stream, current, course	*	1555182	Yes	Yes	No		30	0.483	26	0.419
ros	m	3	rōs	rōrēs	rōris	rōrum	rōrem	rōrēs	dew	f	rouă			roao	l			*rosa	f		*	38240	Yes	Yes	No		?	?	?	?
rosa	f	1	rosa	rosae	rosae	rosārum	rosam	rosās	rose	f	roză	roze			f, i, l, g		no longer used (literary)					38241	Yes	Yes	No		10	0.161	0	0
ruina	f	1	ruīna	ruīnae	ruīnae	ruīnārum	ruīnam	ruīnās	ruin	f	ruină	ruine			f, l							270828	Yes	Yes	No		65	1.047	65	1.047
rusticus	mh	2	rusticus	rusticī	rusticī	rusticōrum	rusticum	rusticōs	rural		-								m	(natural gender - adjective)		309162	Yes	No	No		2	0.032	2	0.032
sacerdos	m	3	sacerdōs	sacerdōtēs	sacerdōtis	sacerdōtum	sacerdōtem	sacerdōtēs	priest	m	sacerdot	sacerdoți			i, l			*žьrьcь, *popъ, *svętjenikъ	m	*žьrьcь is 'pagan priest', the other two are 'christian priest'		53140	Yes	Yes	No		1,626	26.186	206	3.318
saeculum	n	2	saeculum	saecula	saeculī	saeculōrum	saeculum	saecula	race, generation, age	n	secol	secole			l, i		century	*věkъ, *rodъ, *kolěno	m, m, n	*věkъ 'age, century', *rodъ, *kolěno 'generation'		282317	Yes	Yes	No		347	5.588	347	5.588
sanctor	mh	3	sanctor	sanctores	sanctoris	sanctorum	sanctorem	sanctores	ordainer		-								m	(natural gender)		-1	No	No	No		351	5.653	0	0
sanguis	m	3	sanguis	sanguinēs	sanguinis	sanguinum	sanguinem	sanguinēs	blood	n	sânge	-			l			*kry	f			47419	Yes	Yes	No		680	10.951	284	4.574
sapientia	f	1	sapientia	sapientiae	sapientiae	sapientiārum	sapientiam	sapientiās	wisdom, intelligence		-							*mǫdrostь	f	(abstract)		934621	Yes	Yes	No		515	8.294	189	3.044
scandalum	n	2	scandalum	scandala	scandalī	scandalōrum	scandalum	scandala	scandal	n	scandal	scandaluri			f, l		row, affray, brawl, scandal (borrowing?)	*sъblaznъ, *sъblaznь	m, f			2592622	Yes	Yes	No		35	0.564	35	0.564
scientia	f	1	scientia	scientiae	scientiae	scientiārum	scientiam	scientiās	knowledge	f	știință	științe					knowledge, science	*věd(j)a, *znanьje	f, n	(abstract)		214890	Yes	Yes	No		182	2.931	94	1.514
scintilla	f	1	scintilla	scintillae	scintillae	scintillārum	scintillam	scintillās	spark	f	scânteie	scântei	scînteiă	scántéia	l			*jьskra	f		*	89995	Yes	Yes	No		13	0.209	5	0.081
scopa	f	1	scōpa	scōpae	scōpae	scōpārum	scōpam	scōpās	broom, swept		-							*metьla	f			184548	Yes	Yes	No		16	0.258	0	0
scopulus	m	2	scopulus	scopulī	scopulī	scopulōrum	scopulum	scopulōs	cliff, crag		-											2703254	Yes	Yes	No		3	0.048	3	0.048
secretum	n	2	-	secretem	-	secretōrum	-	secreta	secret, mystery (PL)	n	secret	secrete			f, l			*tajьnьstvo, *tajьna	n, f	(abstract)		2924907	Yes	No	No		63	1.015	0	0
semen	n	3	sēmen	sēmina	sēminis	sēminum	sēmen	sēmina	seed	f	sămânță	semințe			l			*sěmę	n			58501	Yes	Yes	No		372	5.991	228	3.672
semis	m	3	sēmis	sēmissēs	sēmissis	sēmissum	sēmissem	sēmissēs	one half		-							*polъ	m			268354	Yes	Yes	No		18	0.29	6	0.097
semita	f	1	sēmita	sēmitae	sēmitae	sēmitārum	sēmitam	sēmitās	path, side-way		-							*stьdza	f			270837	Yes	Yes	No		95	1.53	95	1.53
