Latin	MaxFreq	MinFreq	MinFreq10k
rosa	10	0	0
ruina	65	65	1.047
rusticus	2	2	0.032
sacerdos	1,626	206	3.318
saeculum	347	347	5.588
sanctor	351	0	0
sanguis	680	284	4.574
sapientia	515	189	3.044
scandalum	35	35	0.564
scientia	182	94	1.514
scintilla	13	5	0.081
scopa	16	0	0
scopulus	3	3	0.048
secretum	63	0	0
semen	372	228	3.672
semis	18	6	0.097
semita	95	95	1.53
senior	483	53	0.854
sensus	203	4	0.064
sententia	38	38	0.612
series	?	?	?
sermo	641	641	10.323
serpens	88	0	0
servus	2,583	0	0
sexus	17	17	0.274
siclus	?	?	?
signum	321	147	2.367
silva	50	48	0.773
sinus	1,607	35	0.564
societas	23	23	0.37
socrus	29	11	0.177
sol	1,516	79	1.272
solitudo	149	149	2.4
somnus	61	35	0.564
sorex	?	?	?
soror	131	121	1.949
species	102	40	0.644
speculum	15	3	0.048
specus	3	3	0.048
spina	63	39	0.628
spiritus	720	720	11.595
sporta	6	6	0.097
stella	92	40	0.644
stomachus	4	4	0.064
substantia	146	56	0.902
subula	2	2	0.032
sucus	?	?	?
sudor	8	2	0.032
summa	127	0	0
sycomorus	?	?	?
talenta	83	83	1.337
tectum	121	0	0
templum	458	458	7.376
temptatio	43	43	0.693
tempus	1,666	0	0
tenebrae	202	130	2.094
tergum	49	43	0.693
terminatio	?	?	?
terra	3,219	3,219	51.841
testa	131	11	0.177
thronus	92	92	1.482
tilia	?	?	?
tinctus	15	0	0
tonitrus	14	14	0.225
torrens	244	0	0
torta	20	0	0
trabs	12	12	0.193
tribunus	44	44	0.709
tribus	728	244	3.93
truncus	13	0	0
tuba	150	74	1.192
turba	333	87	1.401
turma	57	57	0.918
turris	77	77	1.24
turtur	16	16	0.258
tussis	?	?	?
tutela	2	2	0.032
tyrannus	19	16	0.258
umbra	115	23	0.37
umerus	63	33	0.531
unctus	47	0	0
unguis	16	16	0.258
ungula	25	21	0.338
universum	922	922	14.849
urbs	460	278	4.477
urceolus	?	?	?
uterus	84	66	1.063
uva	74	0	0
uxor	545	507	8.165
vacca	38	11	0.177
vallis	192	14	0.225
vas	342	248	3.994
vectis	126	7	0.113
vectus	?	?	?
velum	48	30	0.483
vena	18	10	0.161
venenum	10	4	0.064
venter	103	59	0.95
ventus	?	?	?
verbum	1,204	1,204	19.39
vermis	23	23	0.37
verna	?	?	?
versus	68	2	0.032
verum	117	0	0
vesica	2	2	0.032
vesper	?	?	?
vestimentum	231	231	3.72
vestis	129	127	2.045
vexillum	2	2	0.032
via	900	900	14.494
vicinia	?	?	?
vicinus	41	41	0.66
victor	12	0	0
victoria	27	27	0.435
villa	64	43	0.693
vinea	326	0	0
vinum	239	239	3.849
vipera	7	7	0.113
vir	?	?	?
virga	116	116	1.868
virgo	81	81	1.304
vis	219	53	0.854
visio	98	54	0.87
vita	?	?	?
vitis	25	17	0.274
voluntas	175	175	2.818
volutus	?	?	?
vota	171	0	0
vox	999	309	4.976
vulgus	?	?	?
vulnus	48	26	0.419
vulpes	?	?	?
vultus	105	105	1.691
vulva	?	?	?
zona	20	6	0.097
