Latin	English	Declension	Gender	Total	Prose	Poetry
sanguis	blood	3	m	414	218	196
equus	horse	2	m	411	262	149
vultus	expression, face, appearance	4	m	402	185	217
proelium	battle, warrior	2	n	401	349	52
opus	work	3	n	393	325	68
mons	mountain	3	m	391	224	167
numerus	number	2	m	390	327	63
ius	law, right, duty	3	n	388	300	88
pectus	chest, breast	3	n	387	116	271
telum	dart, spear, weapon	2	n	386	232	154
puer	child, boy	2	m	385	124	261
aqua	water	1	f	383	247	136
flumen	river	3	n	380	258	122
ingenium	natural character, disposition, intelligence, talent	2	n	377	338	39
ops	power to help, resources	3	f	376	284	92
gloria	glory, fame	1	f	373	314	59
agmen	multitude, army, stream	3	n	360	292	68
ferrum	iron, sword	2	n	352	150	202
coniux	spouse	3	mh, fh	351	128	223
navis	ship	3	f	349	270	79
silva	wood, forest	1	f	341	137	204
impetus	attack	4	m	339	296	43
ager	field, farm	2	m	337	230	107
studium	study	2	n	335	302	33
acies	sharp edge, battle line	5	f	328	286	42
vulnus	wound, injury	3	n	324	212	112
fuga	flight, escape, exile	1	f	323	238	85
pecunia	money, wealth	1	f	322	311	11
munus	service, buden, duty, gift	3	n	322	157	165
libertas	liberty, freedom	3	f	321	297	24
pax	peace	3	f	318	245	73
civis	citizen	3	mh, fh	315	279	36
lux	light	3	f	314	174	140
ordo	order, class, rank	3	m	313	252	61
sol	sun	3	m	312	185	127
iuvenis	youth	3	mh, fh	311	140	171
spatium	space, room	2	n	310	252	58
unda	wave	1	f	308	31	277
animal	animal	3	n	307	293	14
litus	beach, shore	3	n	303	89	214
patria	country, homeland	1	f	301	189	112
servus	servant, slave	2	m	300	264	36
aurum	gold	2	n	300	155	145
turba	stir, disturbance, mob	1	f	296	163	133
carmen	song	3	n	296	90	206
victor	conqueror, victor	3	mh	295	178	117
cursus	race, course, journey	4	m	293	181	112
exemplum	sample, example	2	n	286	251	35
sententia	opinion, thought, purpose	1	f	285	270	15
praesidium	defence, protection, guard	2	n	284	268	16
saxum	stone	2	n	281	127	154
salus	safety, security	3	f	280	251	29
mundus	world, universe	2	m	280	160	120
auxilium	help, aid	2	n	278	245	33
ventus	wind	2	m	278	77	201
species	spectacle, sight	5	f	276	259	17
auris	ear	3	f	275	165	110
umbra	shadow	1	f	275	62	213
caedes	cutting, striking	3	f	274	191	83
dominus	owner, lord	2	mh	269	164	105
regio	direction, line	3	f	266	240	26
votum	promise, vow, prayer	2	n	265	124	141
orbis	circle, ring	3	m	262	109	153
puella	girl	1	f	262	12	250
oppidum	town	2	n	257	239	18
sermo	conversation, discussion	3	m	256	223	33
latus	side, flank	3	n	254	142	112
lacrima	tear	1	f	254	121	133
iugum	yoke	2	n	254	110	144
officium	duty, service, office	2	n	252	223	29
odium	hate	2	n	250	195	55
murus	wall	2	m	250	192	58
forma	shape, form	1	f	249	155	94
auctor	seller, author	3	mh	248	200	48
amnis	stream, torrent, river, ocean	3	m	244	166	78
vestis	garment, robe, clothing	3	f	241	138	103
femina	woman, wife	1	fh	238	170	68
laus	praise, glory	3	f	238	147	91
flamma	flame, fire	1	f	237	48	189
campus	plain, field	2	m	233	114	119
sedes	seat, chair	3	f	231	116	115
mora	delay	1	f	230	112	118
crimen	verdict, judgment	3	n	229	144	85
uxor	wife, spouse	3	fh	228	172	56
sidus	constellation, star	3	n	226	81	145
cohors	court, farmyard, crowd	3	f	223	195	28
tectum	roof, ceiling	2	n	221	92	129
timor	fear, dread	3	m	219	150	69
tergum	back, rear, surface	2	n	218	126	92
fera	wild animal, beast	1	f	218	94	124
pugna	fight, battle	1	f	215	178	37
supplicium	kneeling, supplication, punishment, suffering	2	n	212	181	31
classis	armed forces, fleet	3	f	210	127	83
divitiae	riches, wealth	1	f	209	185	24
invidia	envy, jealousy, prejudice	1	f	209	183	26
morbus	disease, sickness	2	m	209	171	38
templum	temple, shrine	2	n	205	111	94
facies	shape, figure, face	5	f	202	104	98
arbor	tree	3	f	202	100	102
otium	leisure	2	n	201	173	28
lumen	light	3	n	201	56	145
