Word	Declension	Gender	TotFreq	Declined	0	1	2	3	4	5	6	7	8	9	10
ager:Acc.Pl	2	m	337	agrōs	ōs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
ager:Gen.Sg	2	m	337	agrī	ī	ui	ō	ō	ō	ō	ō	ō	ō	ō	ō
ager:Gen.Pl	2	m	337	agrōrum	ōrum	ōrum	ieu	ieu	ieu	ieu	ieu	ieu	ieu	ieu	ieu
ager:Abl.Sg	2	m	337	agrō	ō	ō	ō	ō	ō	ō	ō	ō	ō	ō	ō
ager:Nom.Pl	2	m	337	agrī	ī	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
ager:Acc.Sg	2	m	337	agrum	um	um	um	um	um	um	um	um	um	um	um
ager:Dat.Pl	2	m	337	agrīs	īs	īs	ie	ieu	ieu	ieu	ieu	ieu	ieu	ieu	ieu
agger:Nom.Sg	3	m	76	agger						e	e	e	e	e	e
agger:Abl.Pl	3	m	76	aggeribus	ibus	ibus	iu	iu	iu	iu	iu	iu	iu	iu	iu
agger:Dat.Sg	3	m	76	aggerī	ī	e	e	e	e	e	e	e	e	e	e
agger:Acc.Pl	3	m	76	aggerēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
agger:Gen.Sg	3	m	76	aggeris	is	is	is	e	e	e	e	e	e	e	e
agger:Gen.Pl	3	m	76	aggerum	um	iu	iu	iu	iu	iu	iu	iu	iu	iu	iu
agger:Abl.Sg	3	m	76	aggere	e	e	e	e	e	e	e	e	e	e	e
agger:Nom.Pl	3	m	76	aggerēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
agger:Acc.Sg	3	m	76	aggerem	em	em	em	em	em	em	em	em	em	em	em
agger:Dat.Pl	3	m	76	aggeribus	ibus	iu	iu	iu	iu	iu	iu	iu	iu	iu	iu
agmen:Nom.Sg	3	n	360	agmen						e	e	e	e	e	e
agmen:Abl.Pl	3	n	360	agminibus	ibus	ibus	iu	iu	iu	iu	iu	iu	iu	iu	iu
agmen:Dat.Sg	3	n	360	agminī	ī	e	e	e	e	e	e	e	e	e	e
agmen:Acc.Pl	3	n	360	agmina	a	a	a	a	a	a	a	e	e	e	e
agmen:Gen.Sg	3	n	360	agminis	is	i	e	e	e	e	e	e	e	e	e
agmen:Gen.Pl	3	n	360	agminum	um	i	iu	iu	iu	iu	iu	iu	iu	iu	iu
agmen:Abl.Sg	3	n	360	agmine	e	e	e	e	e	e	e	e	e	e	e
agmen:Nom.Pl	3	n	360	agmina	a	a	a	a	a	a	a	e	e	e	e
agmen:Acc.Sg	3	n	360	agmen						e	e	e	e	e	e
agmen:Dat.Pl	3	n	360	agminibus	ibus	i	iu	iu	iu	iu	iu	iu	iu	iu	iu
ala:Nom.Sg	1	f	73	āla	a	a	a	a	a	a	a	a	a	a	a
ala:Abl.Pl	1	f	73	ālīs	īs	ī	ieu	ieu	ieu	ieu	ieu	ieu	ieu	ieu	ieu
ala:Dat.Sg	1	f	73	ālae	ae	ae	ae	ae	ae	ae	ao	ae	ae	ae	ae
ala:Acc.Pl	1	f	73	ālās	ās	aes	aes	aes	aes	aes	aes	aes	aes	aes	aes
ala:Gen.Sg	1	f	73	ālae	ae	ae	ae	ae	ae	ae	ae	ae	ae	ae	ae
ala:Gen.Pl	1	f	73	ālārum	ārum	aerum	ie	ieu	ieu	ieu	ieu	ieu	ieu	ieu	ieu
ala:Abl.Sg	1	f	73	ālā	ā	ae	ae	ae	ae	ae	ae	ae	ae	ae	ae
ala:Nom.Pl	1	f	73	ālae	ae	aes	aes	aes	aes	aes	aes	aes	aes	aes	aes
ala:Acc.Sg	1	f	73	ālam	am	am	am	am	am	am	am	am	am	am	am
