Word	Declension	Gender	CaseNum	Case	Num	TotFreq	LatSuf	Declined	0	1	2	3	4	5	6	7	8	9	10
76	aestas:Gen.Pl	3	f	Gen.Pl	Gen	Pl	89	um	aestātum	u	i	i	i	i	i	i	i	i	i	i
77	aestas:Abl.Sg	3	f	Abl.Sg	Abl	Sg	89	e	aestāte	ea	ea	ea	ea	ea	ea	ea	ea	ea	ea	ea
78	aestas:Nom.Pl	3	f	Nom.Pl	Nom	Pl	89	ēs	aestātēs	i	i	i	i	i	i	i	i	i	i	i
79	aestas:Acc.Sg	3	f	Acc.Sg	Acc	Sg	89	em	aestātem	ea	ea	ea	ea	ea	ea	ea	ea	ea	ea	ea
80	aestas:Dat.Pl	3	f	Dat.Pl	Dat	Pl	89	ibus	aestātibus	eui	i	i	i	i	i	i	i	i	i	i
81	aestus:Nom.Sg	4	m	Nom.Sg	Nom	Sg	105	us	aestus	ui	ui	u	u	u	u	u	u	u	u	u
82	aestus:Abl.Pl	4	m	Abl.Pl	Abl	Pl	105	ibus	aestibus	eui	u	u	u	u	u	u	u	u	u	u
83	aestus:Dat.Sg	4	m	Dat.Sg	Dat	Sg	105	uī	aestuī	ui	u	u	u	u	u	u	u	u	u	u
84	aestus:Acc.Pl	4	m	Acc.Pl	Acc	Pl	105	ūs	aestūs	ui	u	u	u	u	u	u	u	u	u	u
85	aestus:Gen.Sg	4	m	Gen.Sg	Gen	Sg	105	ūs	aestūs	ui	u	u	u	u	u	u	u	u	u	u
86	aestus:Gen.Pl	4	m	Gen.Pl	Gen	Pl	105	uum	aestuum	u	i	i	i	i	i	i		i	i	i
87	aestus:Abl.Sg	4	m	Abl.Sg	Abl	Sg	105	ū	aestū	u	u	u	u	u	u	u	u	u	u	u
88	aestus:Nom.Pl	4	m	Nom.Pl	Nom	Pl	105	ūs	aestūs	ui	u	u	u	u	u	u	u	u	u	u
89	aestus:Acc.Sg	4	m	Acc.Sg	Acc	Sg	105	um	aestum	u	u	u	u	u	u	u	u	u	u	u
90	aestus:Dat.Pl	4	m	Dat.Pl	Dat	Pl	105	ibus	aestibus	eui	i	i	i	i	i	i	i	i	i	i
91	aetas:Nom.Sg	3	f	Nom.Sg	Nom	Sg	418		aetās											
92	aetas:Abl.Pl	3	f	Abl.Pl	Abl	Pl	418	ibus	aetātibus	eui	i	i	i	i	i	i	i	i	i	i
93	aetas:Dat.Sg	3	f	Dat.Sg	Dat	Sg	418	ī	aetātī	i	i	i	i	i	i	i	i	i	i	i
94	aetas:Acc.Pl	3	f	Acc.Pl	Acc	Pl	418	ēs	aetātēs	i	i	i	i	i	i	i	i	i	i	i
95	aetas:Gen.Sg	3	f	Gen.Sg	Gen	Sg	418	is	aetātis	i	i	i	i	i	i	i	i	i	i	i
96	aetas:Gen.Pl	3	f	Gen.Pl	Gen	Pl	418	um	aetātum	u	i	i	i	i	i	i	i	i	i	i
97	aetas:Abl.Sg	3	f	Abl.Sg	Abl	Sg	418	e	aetāte	ea	ea	ea	ea	ea	ea	ea	ea	ea	ea	ea
98	aetas:Nom.Pl	3	f	Nom.Pl	Nom	Pl	418	ēs	aetātēs	i	i	i	i	i	i	i	i	i	i	i
99	aetas:Acc.Sg	3	f	Acc.Sg	Acc	Sg	418	em	aetātem	ea	ea	ea	ea	ea	ea	ea	ea	ea	ea	ea
100	aetas:Dat.Pl	3	f	Dat.Pl	Dat	Pl	418	ibus	aetātibus	eui	i	i	i	i	i	i	i	i	i	i
101	aevum:Nom.Sg	2	n	Nom.Sg	Nom	Sg	91	um	aevum	u	u	u	u	u	u	u	u	u	u	u
102	aevum:Abl.Pl	2	n	Abl.Pl	Abl	Pl	91	īs	aevīs	i									u	u
103	aevum:Dat.Sg	2	n	Dat.Sg	Dat	Sg	91	ō	aevō	u								i		u
104	aevum:Acc.Pl	2	n	Acc.Pl	Acc	Pl	91	a	aeva	a		u							u	u
105	aevum:Gen.Sg	2	n	Gen.Sg	Gen	Sg	91	ī	aevī	i								u	u	u
106	aevum:Gen.Pl	2	n	Gen.Pl	Gen	Pl	91	ōrum	aevōrum	oru	i	i	i	i	i	i	i	i	i	i
107	aevum:Abl.Sg	2	n	Abl.Sg	Abl	Sg	91	ō	aevō	u	u	u	u	u	u	u	u	u	u	u
108	aevum:Nom.Pl	2	n	Nom.Pl	Nom	Pl	91	a	aeva	a								u	u	u
109	aevum:Acc.Sg	2	n	Acc.Sg	Acc	Sg	91	um	aevum	u	u	u	u	u	u	u	u	u	u	u
110	aevum:Dat.Pl	2	n	Dat.Pl	Dat	Pl	91	īs	aevīs	i	i	i	i	i	i	i	i	i	i	i
111	affectus:Nom.Sg	4	m	Nom.Sg	Nom	Sg	185	us	affectus	ui	u	u	u	u	u	u	u	u	u	u
112	affectus:Abl.Pl	4	m	Abl.Pl	Abl	Pl	185	ibus	affectibus	eui	u	u	u	u	u	u	u	u	u	u
113	affectus:Dat.Sg	4	m	Dat.Sg	Dat	Sg	185	uī	affectuī	ui	u	u	u	u	u	u	u	u	u	u
114	affectus:Acc.Pl	4	m	Acc.Pl	Acc	Pl	185	ūs	affectūs	ui	u	u	u	u	u	u	u	u	u	u
115	affectus:Gen.Sg	4	m	Gen.Sg	Gen	Sg	185	ūs	affectūs	ui	u	u	u	u	u	u	u	u	u	u
116	affectus:Gen.Pl	4	m	Gen.Pl	Gen	Pl	185	uum	affectuum	u	i	i	i	i	i	i		i	i	i
117	affectus:Abl.Sg	4	m	Abl.Sg	Abl	Sg	185	ū	affectū	u	u	u	u	u	u	u	u	u	u	u
118	affectus:Nom.Pl	4	m	Nom.Pl	Nom	Pl	185	ūs	affectūs	ui	u	u	u	u	u	u	u	u	u	u
119	affectus:Acc.Sg	4	m	Acc.Sg	Acc	Sg	185	um	affectum	u	u	u	u	u	u	u	u	u	u	u
120	affectus:Dat.Pl	4	m	Dat.Pl	Dat	Pl	185	ibus	affectibus	eui	i	i	i	i	i	i	i	i	i	i
121	ager:Nom.Sg	2	m	Nom.Sg	Nom	Sg	337		ager		u	u	u	u	u	u	u	u	u	u
122	ager:Abl.Pl	2	m	Abl.Pl	Abl	Pl	337	īs	agrīs	i	i	i						u	u	u
123	ager:Dat.Sg	2	m	Dat.Sg	Dat	Sg	337	ō	agrō	u	u							i	u	u
124	ager:Acc.Pl	2	m	Acc.Pl	Acc	Pl	337	ōs	agrōs	ui								u	u	u
125	ager:Gen.Sg	2	m	Gen.Sg	Gen	Sg	337	ī	agrī	i	i	i						u	u	u
126	ager:Gen.Pl	2	m	Gen.Pl	Gen	Pl	337	ōrum	agrōrum	oru	i	i	i	i	i	i	i	i	i	i
127	ager:Abl.Sg	2	m	Abl.Sg	Abl	Sg	337	ō	agrō	u	u	u	u	u	u	u	u	u	u	u
128	ager:Nom.Pl	2	m	Nom.Pl	Nom	Pl	337	ī	agrī	i		i					u	u	u	u
129	ager:Acc.Sg	2	m	Acc.Sg	Acc	Sg	337	um	agrum	u	u	u	u	u	u	u	u	u	u	u
130	ager:Dat.Pl	2	m	Dat.Pl	Dat	Pl	337	īs	agrīs	i	i	i	i	i	i	i	i	i	i	i
131	agger:Nom.Sg	3	m	Nom.Sg	Nom	Sg	76		agger											
132	agger:Abl.Pl	3	m	Abl.Pl	Abl	Pl	76	ibus	aggeribus	eui	i	i	i	i	i	i	i	i	i	i
133	agger:Dat.Sg	3	m	Dat.Sg	Dat	Sg	76	ī	aggerī	i	i	i	i	i	i	i	i	i	i	i
134	agger:Acc.Pl	3	m	Acc.Pl	Acc	Pl	76	ēs	aggerēs	i	i	i	i	i	i	i	i	i	i	i
135	agger:Gen.Sg	3	m	Gen.Sg	Gen	Sg	76	is	aggeris	i	i	i	i	i	i	i	i	i	i	i
136	agger:Gen.Pl	3	m	Gen.Pl	Gen	Pl	76	um	aggerum	u	i	i	i	i	i	i	i	i	i	i
137	agger:Abl.Sg	3	m	Abl.Sg	Abl	Sg	76	e	aggere	ea	ea	ea	ea	ea	ea	ea	ea	ea	ea	ea
138	agger:Nom.Pl	3	m	Nom.Pl	Nom	Pl	76	ēs	aggerēs	i	i	i	i	i	i	i	i	i	i	i
139	agger:Acc.Sg	3	m	Acc.Sg	Acc	Sg	76	em	aggerem	ea	ea	ea	ea	ea	ea	ea	ea	ea	ea	ea
140	agger:Dat.Pl	3	m	Dat.Pl	Dat	Pl	76	ibus	aggeribus	eui	i	i	i	i	i	i	i	i	i	i
141	agmen:Nom.Sg	3	n	Nom.Sg	Nom	Sg	360		agmen											
142	agmen:Abl.Pl	3	n	Abl.Pl	Abl	Pl	360	ibus	agminibus	eui	i	i	i	i	i	i	i	i	i	i
143	agmen:Dat.Sg	3	n	Dat.Sg	Dat	Sg	360	ī	agminī	i	i	i	i	i	i	i	i	i	i	i
144	agmen:Acc.Pl	3	n	Acc.Pl	Acc	Pl	360	a	agmina	a		i	i	i	i	i	i	i	i	i
145	agmen:Gen.Sg	3	n	Gen.Sg	Gen	Sg	360	is	agminis	i	i	i	i	i	i	i	i	i	i	i
146	agmen:Gen.Pl	3	n	Gen.Pl	Gen	Pl	360	um	agminum	u	i	i	i	i	i	i	i	i	i	i
147	agmen:Abl.Sg	3	n	Abl.Sg	Abl	Sg	360	e	agmine	ea	ea	ea	ea	ea	ea	ea	ea	ea	ea	ea
148	agmen:Nom.Pl	3	n	Nom.Pl	Nom	Pl	360	a	agmina	a	i	i	i	i	i	i	i	i	i	i
149	agmen:Acc.Sg	3	n	Acc.Sg	Acc	Sg	360		agmen		a	ea	ea	ea	ea	ea	ea	ea	ea	ea
150	agmen:Dat.Pl	3	n	Dat.Pl	Dat	Pl	360	ibus	agminibus	eui	i	i	i	i	i	i	i	i	i	i
151	ala:Nom.Sg	1	f	Nom.Sg	Nom	Sg	73	a	āla	a	a	a	a	a	a	a	a	a	a	a
152	ala:Abl.Pl	1	f	Abl.Pl	Abl	Pl	73	īs	ālīs	i	i	i	i	i	i	i	i	i	i	i
153	ala:Dat.Sg	1	f	Dat.Sg	Dat	Sg	73	ae	ālae	ea	e	i	i	i	i	i	i	i	i	i
154	ala:Acc.Pl	1	f	Acc.Pl	Acc	Pl	73	ās	ālās	e	i	i	i	i	i	i	i	i	i	i
155	ala:Gen.Sg	1	f	Gen.Sg	Gen	Sg	73	ae	ālae	ea	e	i	i	i	i	i	i	i	i	i
156	ala:Gen.Pl	1	f	Gen.Pl	Gen	Pl	73	ārum	ālārum	aru	ea	i	i	i	i	i	i	i	i	i
157	ala:Abl.Sg	1	f	Abl.Sg	Abl	Sg	73	ā	ālā	a	a	a	a	a	a	a	a	a	a	a
158	ala:Nom.Pl	1	f	Nom.Pl	Nom	Pl	73	ae	ālae	ea	i	i	i	i	i	i	i	i	i	i
159	ala:Acc.Sg	1	f	Acc.Sg	Acc	Sg	73	am	ālam	a	a	a	a	a	a	a	a	a	a	a
160	ala:Dat.Pl	1	f	Dat.Pl	Dat	Pl	73	īs	ālīs	i	i	i	i	i	i	i	i	i	i	i
161	altum:Nom.Sg	2	n	Nom.Sg	Nom	Sg	96	um	altum	u	u	u	u	u	u	u	u	u	u	u
162	altum:Abl.Pl	2	n	Abl.Pl	Abl	Pl	96	īs	altīs	i									u	u
163	altum:Dat.Sg	2	n	Dat.Sg	Dat	Sg	96	ō	altō	u								i	i	u
164	altum:Acc.Pl	2	n	Acc.Pl	Acc	Pl	96	a	alta	a		u							u	u
165	altum:Gen.Sg	2	n	Gen.Sg	Gen	Sg	96	ī	altī	i								u	u	u
166	altum:Gen.Pl	2	n	Gen.Pl	Gen	Pl	96	ōrum	altōrum	oru	ea	i	i	i	i	i	i	i	i	i
