Declined Noun	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
aestas:nompl	f,3,nom,pl	f,3,acc,sg	f,3,acc,sg	f,3,acc,sg	f,3,acc,sg	f,3,acc,sg	f,3,acc,sg	f,3,acc,sg	f,3,acc,sg	f,3,acc,sg	f,3,acc,sg	f,3,acc,sg	f,3,acc,sg	f,3,gen,sg	f,3,gen,sg	f,3,gen,sg
aestas:accsg	f,3,acc,sg	f,3,acc,sg	f,3,acc,sg	f,3,acc,sg	f,3,acc,sg	f,3,acc,sg	f,3,acc,sg	f,3,acc,sg	f,3,acc,sg	f,3,acc,sg	f,3,acc,sg	f,3,acc,sg	f,3,acc,sg	f,3,gen,sg	f,3,gen,sg	f,3,gen,sg
aestas:genpl	f,3,gen,pl	f,3,acc,sg	f,3,acc,sg	f,3,acc,sg	f,3,acc,sg	f,3,acc,sg	f,3,acc,sg	f,3,acc,sg	f,3,acc,sg	f,3,acc,sg	f,3,acc,sg	f,3,acc,sg	f,3,acc,sg	f,3,gen,sg	f,3,gen,sg	f,3,gen,sg
aestas:gensg	f,3,gen,sg	f,3,nom,sg	f,3,nom,sg	f,1,nom,sg	f,3,nom,sg	f,3,nom,sg	f,3,nom,sg	f,3,nom,sg	f,3,nom,sg	f,3,nom,sg	f,3,nom,sg	f,3,nom,sg	f,3,nom,sg	f,3,nom,sg	f,3,nom,sg	f,3,nom,sg
aestas:nomsg	f,3,nom,sg	m,3,acc,sg	f,3,acc,sg	f,3,acc,sg	f,3,acc,sg	f,3,acc,sg	f,3,acc,sg	f,3,acc,sg	f,3,acc,sg	f,3,acc,sg	f,3,acc,sg	f,3,acc,sg	f,3,acc,sg	f,3,gen,sg	f,3,gen,sg	f,3,gen,sg
aestus:accpl	m,4,acc,pl	m,2,nom,sg	m,2,nom,sg	f,2,nom,sg	f,3,nom,sg	f,3,nom,sg	f,3,nom,sg	f,3,nom,sg	f,3,nom,sg	f,3,nom,sg	f,3,nom,sg	f,3,nom,sg	f,3,nom,sg	f,3,nom,sg	f,3,nom,sg	f,3,nom,sg
aestus:nompl	m,4,nom,pl	m,2,nom,sg	m,2,nom,sg	f,2,nom,sg	f,3,nom,sg	f,3,nom,sg	f,3,nom,sg	f,3,nom,sg	f,3,nom,sg	f,3,nom,sg	f,3,nom,sg	f,3,nom,sg	f,3,nom,sg	f,3,nom,sg	f,3,nom,sg	f,3,nom,sg
aestus:accsg	m,4,acc,sg	n,2,acc,sg	f,2,nom,sg	f,2,nom,sg	f,3,nom,sg	f,3,nom,sg	f,3,nom,sg	f,3,nom,sg	f,3,nom,sg	f,3,nom,sg	f,3,nom,sg	f,3,nom,sg	f,3,nom,sg	f,3,nom,sg	f,3,nom,sg	f,3,nom,sg
aestus:genpl	m,4,gen,pl	m,3,nom,sg	m,2,nom,sg	f,2,nom,sg	f,3,nom,sg	f,3,nom,sg	f,3,nom,sg	f,3,nom,sg	f,3,nom,sg	f,3,nom,sg	f,3,nom,sg	f,3,nom,sg	f,3,nom,sg	f,3,nom,sg	f,3,nom,sg	f,3,nom,sg
aestus:gensg	m,4,gen,sg	m,2,nom,sg	m,2,nom,sg	f,2,nom,sg	f,3,nom,sg	f,3,nom,sg	f,3,nom,sg	f,3,nom,sg	f,3,nom,sg	f,3,nom,sg	f,3,nom,sg	f,3,nom,sg	f,3,nom,sg	f,3,nom,sg	f,3,nom,sg	f,3,nom,sg
aestus:nomsg	m,4,nom,sg	m,3,nom,sg	m,2,nom,sg	f,2,nom,sg	f,3,nom,sg	f,3,nom,sg	f,3,nom,sg	f,3,nom,sg	f,3,nom,sg	f,3,nom,sg	f,3,nom,sg	f,3,nom,sg	f,3,nom,sg	f,3,nom,sg	f,3,nom,sg	f,3,nom,sg
aetas:accpl	f,3,acc,pl	f,3,acc,sg	f,3,acc,sg	f,3,acc,sg	f,3,acc,sg	f,3,acc,sg	f,3,acc,sg	f,3,acc,sg	f,3,acc,sg	f,3,acc,sg	f,3,acc,sg	f,3,acc,sg	f,3,gen,sg	f,3,gen,sg	f,3,gen,sg	f,3,gen,sg
aetas:nompl	f,3,nom,pl	f,3,acc,sg	f,3,acc,sg	f,3,acc,sg	f,3,acc,sg	f,3,acc,sg	f,3,acc,sg	f,3,acc,sg	f,3,acc,sg	f,3,acc,sg	f,3,acc,sg	f,3,acc,sg	f,3,gen,sg	f,3,gen,sg	f,3,gen,sg	f,3,gen,sg
aetas:accsg	f,3,acc,sg	f,3,acc,sg	f,3,acc,sg	f,3,acc,sg	f,3,acc,sg	f,3,acc,sg	f,3,acc,sg	f,3,acc,sg	f,3,acc,sg	f,3,acc,sg	f,3,acc,sg	f,3,acc,sg	f,3,gen,sg	f,3,gen,sg	f,3,gen,sg	f,3,gen,sg
aetas:genpl	f,3,gen,pl	f,1,acc,sg	f,3,acc,sg	f,3,acc,sg	f,3,acc,sg	f,3,acc,sg	f,3,acc,sg	f,3,acc,sg	f,3,acc,sg	f,3,acc,sg	f,3,acc,sg	f,3,acc,sg	f,3,gen,sg	f,3,gen,sg	f,3,gen,sg	f,3,gen,sg
