Word	Declension	Gender	TotFreq	Declined	0	1
animal:Gen.Pl	3	n	307	animālium	ium	ibus
animal:Abl.Sg	3	n	307	animālī	ī	e
animal:Nom.Pl	3	n	307	animālia	ia	e
animal:Acc.Sg	3	n	307	animal		e
animal:Dat.Pl	3	n	307	animālibus	ibus	ibus
animus:Nom.Sg	2	m	2407	animus	us	um
animus:Abl.Pl	2	m	2407	animīs	īs	ū
animus:Dat.Sg	2	m	2407	animō	ō	ō
animus:Acc.Pl	2	m	2407	animōs	ōs	ē
animus:Gen.Sg	2	m	2407	animī	ī	ū
animus:Gen.Pl	2	m	2407	animōrum	ōrum	ū
animus:Abl.Sg	2	m	2407	animō	ō	ō
animus:Nom.Pl	2	m	2407	animī	ī	ō
animus:Acc.Sg	2	m	2407	animum	um	um
animus:Dat.Pl	2	m	2407	animīs	īs	ē
annus:Nom.Sg	2	m	650	annus	us	um
annus:Abl.Pl	2	m	650	annīs	īs	ū
annus:Dat.Sg	2	m	650	annō	ō	ō
annus:Acc.Pl	2	m	650	annōs	ōs	ē
annus:Gen.Sg	2	m	650	annī	ī	ū
annus:Gen.Pl	2	m	650	annōrum	ōrum	ū
annus:Abl.Sg	2	m	650	annō	ō	ō
annus:Nom.Pl	2	m	650	annī	ī	ō
annus:Acc.Sg	2	m	650	annum	um	um
annus:Dat.Pl	2	m	650	annīs	īs	ē
aqua:Nom.Sg	1	f	383	aqua	a	a
aqua:Abl.Pl	1	f	383	aquīs	īs	ae
aqua:Dat.Sg	1	f	383	aquae	ae	ae
aqua:Acc.Pl	1	f	383	aquās	ās	ā
aqua:Gen.Sg	1	f	383	aquae	ae	ae
aqua:Gen.Pl	1	f	383	aquārum	ārum	ae
aqua:Abl.Sg	1	f	383	aquā	ā	a
aqua:Nom.Pl	1	f	383	aquae	ae	ā
aqua:Acc.Sg	1	f	383	aquam	am	am
aqua:Dat.Pl	1	f	383	aquīs	īs	ae
ara:Nom.Sg	1	f	199	āra	a	a
ara:Abl.Pl	1	f	199	ārīs	īs	ae
ara:Dat.Sg	1	f	199	ārae	ae	ae
ara:Acc.Pl	1	f	199	ārās	ās	ā
ara:Gen.Sg	1	f	199	ārae	ae	ae
ara:Gen.Pl	1	f	199	ārārum	ārum	ae
ara:Abl.Sg	1	f	199	ārā	ā	ae
ara:Nom.Pl	1	f	199	ārae	ae	ae
ara:Acc.Sg	1	f	199	āram	am	am
ara:Dat.Pl	1	f	199	ārīs	īs	ae
arbiter:Nom.Sg	2	m	54	arbiter		um
arbiter:Abl.Pl	2	m	54	arbitrīs	īs	ū
arbiter:Dat.Sg	2	m	54	arbitrō	ō	ō
arbiter:Acc.Pl	2	m	54	arbitrōs	ōs	ō
arbiter:Gen.Sg	2	m	54	arbitrī	ī	ō
arbiter:Gen.Pl	2	m	54	arbitrōrum	ōrum	ō
arbiter:Abl.Sg	2	m	54	arbitrō	ō	ō
arbiter:Nom.Pl	2	m	54	arbitrī	ī	ō
arbiter:Acc.Sg	2	m	54	arbitrum	um	um
arbiter:Dat.Pl	2	m	54	arbitrīs	īs	ō
arbitrium:Nom.Sg	2	n	98	arbitrium	um	um
arbitrium:Abl.Pl	2	n	98	arbitriīs	īs	ū
arbitrium:Dat.Sg	2	n	98	arbitriō	ō	ō
arbitrium:Acc.Pl	2	n	98	arbitria	a	ē
arbitrium:Gen.Sg	2	n	98	arbitriī	ī	ō
arbitrium:Gen.Pl	2	n	98	arbitriōrum	ōrum	ū
arbitrium:Abl.Sg	2	n	98	arbitriō	ō	ō
arbitrium:Nom.Pl	2	n	98	arbitria	a	ō
arbitrium:Acc.Sg	2	n	98	arbitrium	um	um
arbitrium:Dat.Pl	2	n	98	arbitriīs	īs	ō
arbor:Nom.Sg	3	f	202	arbor		e
arbor:Abl.Pl	3	f	202	arboribus	ibus	ibus
arbor:Dat.Sg	3	f	202	arborī	ī	e
arbor:Acc.Pl	3	f	202	arborēs	ēs	a
arbor:Gen.Sg	3	f	202	arboris	is	e
arbor:Gen.Pl	3	f	202	arborum	um	ibus
arbor:Abl.Sg	3	f	202	arbore	e	e
arbor:Nom.Pl	3	f	202	arborēs	ēs	e
arbor:Acc.Sg	3	f	202	arborem	em	em
arbor:Dat.Pl	3	f	202	arboribus	ibus	ibus
arcus:Nom.Sg	4	m	86	arcus	us	um
arcus:Abl.Pl	4	m	86	arcubus	ubus	ubus
arcus:Dat.Sg	4	m	86	arcuī	uī	ū
arcus:Acc.Pl	4	m	86	arcūs	ūs	ō
arcus:Gen.Sg	4	m	86	arcūs	ūs	ū
arcus:Gen.Pl	4	m	86	arcuum	uum	ū
arcus:Abl.Sg	4	m	86	arcū	ū	ū
arcus:Nom.Pl	4	m	86	arcūs	ūs	ū
arcus:Acc.Sg	4	m	86	arcum	um	um
arcus:Dat.Pl	4	m	86	arcubus	ubus	ū
arena:Nom.Sg	1	f	103	arēna	a	a
arena:Abl.Pl	1	f	103	arēnīs	īs	ae
arena:Dat.Sg	1	f	103	arēnae	ae	ae
arena:Acc.Pl	1	f	103	arēnās	ās	ae
arena:Gen.Sg	1	f	103	arēnae	ae	ae
arena:Gen.Pl	1	f	103	arēnārum	ārum	ae
arena:Abl.Sg	1	f	103	arēnā	ā	a
arena:Nom.Pl	1	f	103	arēnae	ae	ae
arena:Acc.Sg	1	f	103	arēnam	am	am
arena:Dat.Pl	1	f	103	arēnīs	īs	ae
argentum:Nom.Sg	2	n	131	argentum	um	um
argentum:Abl.Pl	2	n	131	argentīs	īs	ū
argentum:Dat.Sg	2	n	131	argentō	ō	ō
argentum:Acc.Pl	2	n	131	argenta	a	ē
argentum:Gen.Sg	2	n	131	argentī	ī	ū
argentum:Gen.Pl	2	n	131	argentōrum	ōrum	ū
argentum:Abl.Sg	2	n	131	argentō	ō	ō
argentum:Nom.Pl	2	n	131	argenta	a	ō
argentum:Acc.Sg	2	n	131	argentum	um	um
argentum:Dat.Pl	2	n	131	argentīs	īs	ē
arma:Nom.Sg	2	n	864			um
arma:Abl.Pl	2	n	864	armīs	īs	e
arma:Dat.Sg	2	n	864			ō
arma:Acc.Pl	2	n	864	arma	a	ē
arma:Gen.Sg	2	n	864			ū
