Word	Declension	Gender	Case	TotFreq	Declined	0	1	2	3	4	5	6	7	8	9	10
puppis:Dat.Sg	3	f	Dat.Sg	75	puppī	ī	e	e	e	e	e	e	e	e	e	e
puppis:Acc.Pl	3	f	Acc.Pl	75	puppēs	ēs	e	e	e	e	e	e	e	e	e	e
puppis:Gen.Sg	3	f	Gen.Sg	75	puppis	is	i	r	r	rr	rr	rr	rr	rr	rr	rr
puppis:Gen.Pl	3	f	Gen.Pl	75	puppium	ium	rr	rr	rr	rr	rr	rr	rr	rr	rr	rr
puppis:Abl.Sg	3	f	Abl.Sg	75	puppe	e	e	e	e	e	e	e	e	e	e	e
puppis:Nom.Pl	3	f	Nom.Pl	75	puppēs	ēs	rr	r	r	rr	rr	rr	rr	rr	rr	rr
puppis:Acc.Sg	3	f	Acc.Sg	75	puppem	em	em	em	em	em	em	em	em	em	em	e
puppis:Dat.Pl	3	f	Dat.Pl	75	puppibus	ibus	i	rr	r	r	e	e	e	e	e	e
querela:Nom.Sg	1	f	Nom.Sg	67	querēla	a	a	a	a	ar	ar	ar	ar	ar	ar	ar
querela:Abl.Pl	1	f	Abl.Pl	67	querēlīs	īs	rr	ar	ar	ar	ar	ar	ar	ar	ar	ar
querela:Dat.Sg	1	f	Dat.Sg	67	querēlae	ae	ar	ar	ar	ar	ar	ar	ar	ar	ar	ar
querela:Acc.Pl	1	f	Acc.Pl	67	querēlās	ās	ar	ar	ar	ar	ar	ar	ar	ar	ar	ar
querela:Gen.Sg	1	f	Gen.Sg	67	querēlae	ae	ar	ar	ar	ar	ar	ar	ar	ar	ar	ar
querela:Gen.Pl	1	f	Gen.Pl	67	querēlārum	ārum	ar	ar	ar	ar	ar	ar	ar	ar	ar	ar
querela:Abl.Sg	1	f	Abl.Sg	67	querēlā	ā	ar	ar	ar	ar	ar	ar	ar	ar	ar	ar
querela:Nom.Pl	1	f	Nom.Pl	67	querēlae	ae	ars	ar	ar	ar	ar	ar	ar	ar	ar	ar
querela:Acc.Sg	1	f	Acc.Sg	67	querēlam	am	am	am	am	am	am	arm	arm	arm	arm	ar
querela:Dat.Pl	1	f	Dat.Pl	67	querēlīs	īs	ar	ar	ar	ar	ar	ar	ar	ar	ar	ar
quies:Nom.Sg	3	f	Nom.Sg	162	quiēs			r	r	r	r	rr	rr	rr	rr	rr
quies:Abl.Pl	3	f	Abl.Pl	162	quiētibus	ibus	i	r	e	e	e	e	e	e	e	e
