Word	Declension	Gender	CaseNum	Case	Num	TotFreq	Declined	0	1	2	3	4	5	6	7	8	9	10
193	amnis:Dat.Sg	3	m	Dat.Sg	Dat	Sg	244	amnī	ī	e	e	em	em	em	em	em	em	em	em
194	amnis:Acc.Pl	3	m	Acc.Pl	Acc	Pl	244	amnēs	ēs	es	es	es	e	e	e	e	e	e	e
195	amnis:Gen.Sg	3	m	Gen.Sg	Gen	Sg	244	amnis	is	i	is	e	e	e	e	e	e	e	e
196	amnis:Gen.Pl	3	m	Gen.Pl	Gen	Pl	244	amnium	ium	rum	e	es	es	es	es	es	es	es	es
197	amnis:Abl.Sg	3	m	Abl.Sg	Abl	Sg	244	amne	e	e	e	e	e	e	e	e	e	e	e
198	amnis:Nom.Pl	3	m	Nom.Pl	Nom	Pl	244	amnēs	ēs	is	es	es	es	es	es	es	es	es	es
199	amnis:Acc.Sg	3	m	Acc.Sg	Acc	Sg	244	amnem	em	em	em	em	em	m	m	m	m	m	m
200	amnis:Dat.Pl	3	m	Dat.Pl	Dat	Pl	244	amnibus	ibus	is	e	e	e	e	e	e	e	e	e
201	amor:Nom.Sg	3	m	Nom.Sg	Nom	Sg	539	amor											
202	amor:Abl.Pl	3	m	Abl.Pl	Abl	Pl	539	amōribus	ibus	is	es	es	es	es	es	es	es	es	es
203	amor:Dat.Sg	3	m	Dat.Sg	Dat	Sg	539	amōrī	ī	e	e	em	em	em	em	em	em	em	em
204	amor:Acc.Pl	3	m	Acc.Pl	Acc	Pl	539	amōrēs	ēs	es	es	es	e	e	e	e	e	e	e
205	amor:Gen.Sg	3	m	Gen.Sg	Gen	Sg	539	amōris	is	i	is	e	e	e	e	e	e	e	e
206	amor:Gen.Pl	3	m	Gen.Pl	Gen	Pl	539	amōrum	um	rum	e	es	e	es	es	es	es	es	es
207	amor:Abl.Sg	3	m	Abl.Sg	Abl	Sg	539	amōre	e	e	e	e	e	e	e	e	e	e	e
208	amor:Nom.Pl	3	m	Nom.Pl	Nom	Pl	539	amōrēs	ēs	is	is	es	es	es	es	es	es	es	es
209	amor:Acc.Sg	3	m	Acc.Sg	Acc	Sg	539	amōrem	em	em	em	em	em	m	m	m	m	m	m
210	amor:Dat.Pl	3	m	Dat.Pl	Dat	Pl	539	amōribus	ibus	is	e	e	e	e	e	e	e	e	e
211	anima:Nom.Sg	1	f	Nom.Sg	Nom	Sg	182	anima	a	a	a	a	a	a	a	a	a	a	a
212	anima:Abl.Pl	1	f	Abl.Pl	Abl	Pl	182	animīs	īs	s	as	as	as	as	as	as	as	as	as
213	anima:Dat.Sg	1	f	Dat.Sg	Dat	Sg	182	animae	ae	a	am	am	am	am	am	am	am	am	am
214	anima:Acc.Pl	1	f	Acc.Pl	Acc	Pl	182	animās	ās	as	as	a	a	a	a	a	a	a	a
215	anima:Gen.Sg	1	f	Gen.Sg	Gen	Sg	182	animae	ae	a	a	a	a	a	a	a	a	a	a
216	anima:Gen.Pl	1	f	Gen.Pl	Gen	Pl	182	animārum	ārum	amrum	a	as	as	as	as	as	as	as	as
217	anima:Abl.Sg	1	f	Abl.Sg	Abl	Sg	182	animā	ā	a	a	a	a	a	a	a	a	a	a
218	anima:Nom.Pl	1	f	Nom.Pl	Nom	Pl	182	animae	ae	as	as	as	as	as	as	as	as	as	as
219	anima:Acc.Sg	1	f	Acc.Sg	Acc	Sg	182	animam	am	am	am	am	am	am	am	am	am	am	am
220	anima:Dat.Pl	1	f	Dat.Pl	Dat	Pl	182	animīs	īs		a	a	a	a	a	a	a	a	a
221	animal:Nom.Sg	3	n	Nom.Sg	Nom	Sg	307	animal											
222	animal:Abl.Pl	3	n	Abl.Pl	Abl	Pl	307	animālibus	ibus	is	es	es	es	es	es	es	es	es	es
223	animal:Dat.Sg	3	n	Dat.Sg	Dat	Sg	307	animālī	ī	e	e	em	em	em	em	em	em	em	em
224	animal:Acc.Pl	3	n	Acc.Pl	Acc	Pl	307	animālia	ia	a		e	e	e	e	e	e	e	e
