Form	Root	Suffix	Case	Gender	Declension
memoriae	memori	ae	nompl	f	1
memoriae	memori	ae	gensg	f	1
memoriārum	memori	ārum	genpl	f	1
memoriam	memori	am	accsg	f	1
memoriās	memori	ās	accpl	f	1
mēnsa	mēns	a	nomsg	f	1
mēnsae	mēns	ae	nompl	f	1
mēnsae	mēns	ae	gensg	f	1
mēnsārum	mēns	ārum	genpl	f	1
mēnsam	mēns	am	accsg	f	1
mēnsās	mēns	ās	accpl	f	1
mēnsūra	mēnsūr	a	nomsg	f	1
mēnsūrae	mēnsūr	ae	nompl	f	1
mēnsūrae	mēnsūr	ae	gensg	f	1
mēnsūrārum	mēnsūr	ārum	genpl	f	1
mēnsūram	mēnsūr	am	accsg	f	1
mēnsūrās	mēnsūr	ās	accpl	f	1
mercēs	merc	ēs	nomsg	fh	3
mercēdēs	mercēd	ēs	nompl	fh	3
mercēdis	mercēd	is	gensg	fh	3
mercēdum	mercēd	um	genpl	fh	3
mercēdem	mercēd	em	accsg	fh	3
mercēdēs	mercēd	ēs	accpl	fh	3
merīdiēs	merīdi	ēs	nomsg	m	5
merīdiēs	merīdi	ēs	nompl	m	5
merīdiēī	merīdi	ēī	gensg	m	5
merīdiērum	merīdi	ērum	genpl	m	5
merīdiem	merīdi	em	accsg	m	5
merīdiēs	merīdi	ēs	accpl	m	5
mīca	mīc	a	nomsg	f	1
mīcae	mīc	ae	nompl	f	1
mīcae	mīc	ae	gensg	f	1
mīcārum	mīc	ārum	genpl	f	1
mīcam	mīc	am	accsg	f	1
mīcās	mīc	ās	accpl	f	1
mīlia	mīl	ia	nompl	n	2
mīliōrum	mīl	iōrum	genpl	n	2
mīlia	mīl	ia	accpl	n	2
mīrāculum	mīrācul	um	nomsg	n	2
mīrācula	mīrācul	a	nompl	n	2
mīrāculī	mīrācul	ī	gensg	n	2
mīrāculōrum	mīrācul	ōrum	genpl	n	2
mīrāculum	mīrācul	um	accsg	n	2
mīrācula	mīrācul	a	accpl	n	2
modus	mod	us	nomsg	m	2
modī	mod	ī	nompl	m	2
modī	mod	ī	gensg	m	2
modōrum	mod	ōrum	genpl	m	2
modum	mod	um	accsg	m	2
modōs	mod	ōs	accpl	m	2
mola	mol	a	nomsg	f	1
molae	mol	ae	nompl	f	1
molae	mol	ae	gensg	f	1
molārum	molār	um	genpl	f	1
molam	mol	am	accsg	f	1
molās	mol	ās	accpl	f	1
mōns	mōns	NULL	nomsg	m	3
montēs	mont	ēs	nompl	m	3
montis	mont	is	gensg	m	3
montium	mont	ium	genpl	m	3
montem	mont	em	accsg	m	3
montēs	mont	ēs	accpl	m	3
monumentum	monument	um	nomsg	n	2
monumenta	monument	a	nompl	n	2
monumentī	monument	ī	gensg	n	2
monumentōrum	monument	ōrum	genpl	n	2
monumentum	monument	um	accsg	n	2
monumenta	monument	a	accpl	n	2
mora	mor	a	nomsg	f	1
morae	mor	ae	nompl	f	1
morae	mor	ae	gensg	f	1
morārum	mor	ārum	genpl	f	1
moram	mor	am	accsg	f	1
morās	mor	ās	accpl	f	1
mors	mors	NULL	nomsg	f	3
mortēs	mort	ēs	nompl	f	3
mortis	mort	is	gensg	f	3
mortium	mort	ium	genpl	f	3
mortem	mort	em	accsg	f	3
mortēs	mort	ēs	accpl	f	3
mōrum	mōr	um	nomsg	n	2
mōra	mōr	a	nompl	n	2
mōri	mōr	i	gensg	n	2
morōrum	mor	ōrum	genpl	n	2
mōrum	mōr	um	accsg	n	2
mōra	mōr	a	accpl	n	2
mūcus	mūc	us	nomsg	m	2
mūcī	mūc	ī	nompl	m	2
mūcī	mūc	ī	gensg	m	2
mūcōrum	mūcōr	um	genpl	m	2
mūcum	mūc	um	accsg	m	2
mūcōs	mūc	ōs	accpl	m	2
mulier	mulier	NULL	nomsg	fh	3
mulierēs	mulier	ēs	nompl	fh	3
mulieris	mulier	is	gensg	fh	3
mulierum	mulier	um	genpl	fh	3
mulierem	mulier	em	accsg	fh	3
mulierēs	mulier	ēs	accpl	fh	3
multitūdō	multitūdō	NULL	nomsg	f	3
multitūdinēs	multitūdin	ēs	nompl	f	3
multitūdinis	multitūdin	is	gensg	f	3
multitūdinum	multitūdin	um	genpl	f	3
multitūdinem	multitūdin	em	accsg	f	3
multitūdinēs	multitūdin	ēs	accpl	f	3
mundus	mund	us	nomsg	m	2
mundī	mund	ī	nompl	m	2
mundī	mund	ī	gensg	m	2
mundōrum	mund	ōrum	genpl	m	2
mundum	mund	um	accsg	m	2
mundōs	mund	ōs	accpl	m	2
mūnus	mūnus	NULL	nomsg	n	3
mūnera	mūner	a	nompl	n	3
mūneris	mūner	is	gensg	n	3
mūnerum	mūner	um	genpl	n	3
mūnus	mūnus	NULL	accsg	n	3
mūnera	mūner	a	accpl	n	3
murra	murr	a	nomsg	f	1
murrae	murr	ae	nompl	f	1
murrae	murr	ae	gensg	f	1
murrārum	murr	ārum	genpl	f	1
murram	murr	am	accsg	f	1
murrās	murr	ās	accpl	f	1
mūrus	mūr	us	nomsg	m	2
mūrī	mūr	ī	nompl	m	2
mūrī	mūr	ī	gensg	m	2
mūrōrum	mūr	ōrum	genpl	m	2
mūrum	mūr	um	accsg	m	2
mūrōs	mūr	ōs	accpl	m	2
musca	musc	a	nomsg	f	1
muscae	musc	ae	nompl	f	1
muscae	musc	ae	gensg	f	1
muscārum	musc	ārum	genpl	f	1
muscam	musc	am	accsg	f	1
muscās	musc	ās	accpl	f	1
nāsus	nās	us	nomsg	m	2
nāsī	nās	ī	nompl	m	2
nāsī	nās	ī	gensg	m	2
nāsōrum	nās	ōrum	genpl	m	2
nāsum	nās	um	accsg	m	2
nāsōs	nās	ōs	accpl	m	2
nāvis	nāv	is	nomsg	f	3
nāvēs	nāv	ēs	nompl	f	3
nāvis	nāv	is	gensg	f	3
nāvium	nāv	ium	genpl	f	3
