Word	Declension	Gender	CaseNum	Case	Num	TotFreq	LatSuf	Declined	0	1	2	3	4	5	6	7	8	9	10
89	aestus:Acc.Sg	4	m	Acc.Sg	Acc	Sg	105	um	aestum	o	o	o	o	o	o	o	o	o	o	o
90	aestus:Dat.Pl	4	m	Dat.Pl	Dat	Pl	105	ibus	aestibus	ebo										
91	aetas:Nom.Sg	3	f	Nom.Sg	Nom	Sg	418		aetās		e	e	e	e	e	e	e	e	e	e
92	aetas:Abl.Pl	3	f	Abl.Pl	Abl	Pl	418	ibus	aetātibus	ebo	e	i	i	i	i	i	i	i	i	i
93	aetas:Dat.Sg	3	f	Dat.Sg	Dat	Sg	418	ī	aetātī	i	i	i	i	i	i	i	i	i	i	i
94	aetas:Acc.Pl	3	f	Acc.Pl	Acc	Pl	418	ēs	aetātēs	i	i	i	i	i	i	i	i	i	i	i
95	aetas:Gen.Sg	3	f	Gen.Sg	Gen	Sg	418	is	aetātis	i	i	i	i	i	i	i	i	i	i	i
96	aetas:Gen.Pl	3	f	Gen.Pl	Gen	Pl	418	um	aetātum	o	o									
97	aetas:Abl.Sg	3	f	Abl.Sg	Abl	Sg	418	e	aetāte	e	e	e	e	e	e	e	e	e	e	e
98	aetas:Nom.Pl	3	f	Nom.Pl	Nom	Pl	418	ēs	aetātēs	i		i	i	i	i	i	i	i	i	i
99	aetas:Acc.Sg	3	f	Acc.Sg	Acc	Sg	418	em	aetātem	e	e	e	e	e	e	e	e	e	e	e
100	aetas:Dat.Pl	3	f	Dat.Pl	Dat	Pl	418	ibus	aetātibus	ebo										
101	aevum:Nom.Sg	2	n	Nom.Sg	Nom	Sg	91	um	aevum	o	o	o	o	o	o	o	o	o	o	o
102	aevum:Abl.Pl	2	n	Abl.Pl	Abl	Pl	91	īs	aevīs	i	e									
103	aevum:Dat.Sg	2	n	Dat.Sg	Dat	Sg	91	ō	aevō	o										
104	aevum:Acc.Pl	2	n	Acc.Pl	Acc	Pl	91	a	aeva	a										
105	aevum:Gen.Sg	2	n	Gen.Sg	Gen	Sg	91	ī	aevī	i										
106	aevum:Gen.Pl	2	n	Gen.Pl	Gen	Pl	91	ōrum	aevōrum	oro										
107	aevum:Abl.Sg	2	n	Abl.Sg	Abl	Sg	91	ō	aevō	o	o	o	o	o	o	o	o	o	o	o
108	aevum:Nom.Pl	2	n	Nom.Pl	Nom	Pl	91	a	aeva	a										
109	aevum:Acc.Sg	2	n	Acc.Sg	Acc	Sg	91	um	aevum	o	o	o	o	o	o	o	o	o	o	o
110	aevum:Dat.Pl	2	n	Dat.Pl	Dat	Pl	91	īs	aevīs	i										
111	affectus:Nom.Sg	4	m	Nom.Sg	Nom	Sg	185	us	affectus	o	o	o	o	o	o	o	o	o	o	o
112	affectus:Abl.Pl	4	m	Abl.Pl	Abl	Pl	185	ibus	affectibus	ebo	io									
113	affectus:Dat.Sg	4	m	Dat.Sg	Dat	Sg	185	uī	affectuī	o	i									
114	affectus:Acc.Pl	4	m	Acc.Pl	Acc	Pl	185	ūs	affectūs	u	u									
115	affectus:Gen.Sg	4	m	Gen.Sg	Gen	Sg	185	ūs	affectūs	u	u									
116	affectus:Gen.Pl	4	m	Gen.Pl	Gen	Pl	185	uum	affectuum	u	u									
117	affectus:Abl.Sg	4	m	Abl.Sg	Abl	Sg	185	ū	affectū	u	o	o	o	o	o	o	o	o	o	o
118	affectus:Nom.Pl	4	m	Nom.Pl	Nom	Pl	185	ūs	affectūs	u	u									
119	affectus:Acc.Sg	4	m	Acc.Sg	Acc	Sg	185	um	affectum	o	o	o	o	o	o	o	o	o	o	o
120	affectus:Dat.Pl	4	m	Dat.Pl	Dat	Pl	185	ibus	affectibus	ebo										
