Word	Declension	Gender	Case	TotFreq	Declined	0	1	2	3	4	5	6	7	8	9	10
aditus:Acc.Sg	4	m	Acc.Sg	107	aditum	um	um	um	um	um	ū	ū	ū	ū	ū	ū
aditus:Dat.Pl	4	m	Dat.Pl	107	aditibus	ibus	ūs	ūs	ēs	ēs	ēs	ēs	ūs	ū	ū	ū
adulter:Nom.Sg	2	mh	Nom.Sg	55	adulter		um	um	um	um	um	um	um	um	um	um
adulter:Abl.Pl	2	mh	Abl.Pl	55	adulterīs	īs	īs	īs	īs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
adulter:Dat.Sg	2	mh	Dat.Sg	55	adulterō	ō	us	īs	ī	ē	ē	ēs	ēs	ēs	ēs	ēs
adulter:Acc.Pl	2	mh	Acc.Pl	55	adulterōs	ōs	us	īs	is	ēs	ēs	ē	ēs	ēs	ēs	ēs
adulter:Gen.Sg	2	mh	Gen.Sg	55	adulterī	ī	īs	īs	īs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
adulter:Gen.Pl	2	mh	Gen.Pl	55	adulterōrum	ōrum	ōrum	ē	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
adulter:Abl.Sg	2	mh	Abl.Sg	55	adulterō	ō	ō	ō	ō	ō	ō	ō	ō	ō	ō	ō
adulter:Nom.Pl	2	mh	Nom.Pl	55	adulterī	ī	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
adulter:Acc.Sg	2	mh	Acc.Sg	55	adulterum	um	um	um	um	um	um	um	um	um	um	um
adulter:Dat.Pl	2	mh	Dat.Pl	55	adulterīs	īs	ūs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
adventus:Nom.Sg	4	m	Nom.Sg	112	adventus	us	ū	ū	ū	ū	ū	ū	ū	ū	ū	ū
adventus:Abl.Pl	4	m	Abl.Pl	112	adventibus	ibus	ūs	ūs	ū	ū	ū	ū	ū	ū	ū	ū
adventus:Dat.Sg	4	m	Dat.Sg	112	adventuī	uī	ūs	ūs	ū	ū	ū	ū	ūs	ūs	ū	ū
adventus:Acc.Pl	4	m	Acc.Pl	112	adventūs	ūs	ūs	ūs	ūs	ū	ū	ū	ūs	ū	ū	ū
adventus:Gen.Sg	4	m	Gen.Sg	112	adventūs	ūs	ūs	ūs	ū	ū	ū	ū	ūs	ūs	ū	ū
adventus:Gen.Pl	4	m	Gen.Pl	112	adventuum	uum	ū	ū	uum	uum	uum	ū	ū	ū	ū	ū
adventus:Abl.Sg	4	m	Abl.Sg	112	adventū	ū	ū	ū	ū	ū	ū	ū	ū	ū	ū	ū
adventus:Nom.Pl	4	m	Nom.Pl	112	adventūs	ūs	ūs	ūs	ūs	ūs	ū	ū	ū	ū	ū	ū
adventus:Acc.Sg	4	m	Acc.Sg	112	adventum	um	um	um	um	um	ū	ū	ū	ū	ū	ū
adventus:Dat.Pl	4	m	Dat.Pl	112	adventibus	ibus	ūs	ūs	ēs	ēs	ēs	ēs	ūs	ū	ū	ū
aedes:Nom.Sg	3	f	Nom.Sg	68	aedēs	ēs										
aedes:Abl.Pl	3	f	Abl.Pl	68	aedibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus
aedes:Dat.Sg	3	f	Dat.Sg	68	aedī	ī	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
aedes:Acc.Pl	3	f	Acc.Pl	68	aedēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
aedes:Gen.Sg	3	f	Gen.Sg	68	aedis	is	is	is	is	is	is	is	is	is	is	is
aedes:Gen.Pl	3	f	Gen.Pl	68	aedium	ium	uum	uum	uum	uum	uum	uum	uum	ubus	ibus	ibus
aedes:Abl.Sg	3	f	Abl.Sg	68	aede	e	e	e	e	e	e	e	e	e	e	e
aedes:Nom.Pl	3	f	Nom.Pl	68	aedēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
aedes:Acc.Sg	3	f	Acc.Sg	68	aedem	em	em	em	em	em	em	em	em	em	em	em
aedes:Dat.Pl	3	f	Dat.Pl	68	aedibus	ibus	is	e	is	ēs	ēs	ēs	ēs	ēs	ēs	ēs
aer:Nom.Sg	3	m	Nom.Sg	78	āēr											
aer:Abl.Pl	3	m	Abl.Pl	78	āeribus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus
aer:Dat.Sg	3	m	Dat.Sg	78	āerī	ī	es	es	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
aer:Acc.Pl	3	m	Acc.Pl	78	āerēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
aer:Gen.Sg	3	m	Gen.Sg	78	āeris	is	is	is	is	is	is	is	is	is	is	is
aer:Gen.Pl	3	m	Gen.Pl	78	āerum	um	um	uum	uum	uum	uum	uum	uum	ubus	ibus	ibus
aer:Abl.Sg	3	m	Abl.Sg	78	āere	e	e	e	e	e	e	e	e	e	e	e
aer:Nom.Pl	3	m	Nom.Pl	78	āerēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
aer:Acc.Sg	3	m	Acc.Sg	78	āera	a	em	em	em	em	em	em	em	em	em	em
aer:Dat.Pl	3	m	Dat.Pl	78	āeribus	ibus	ibus	e	is	ēs	ēs	ēs	ēs	ēs	ēs	ēs
aes:Nom.Sg	3	n	Nom.Sg	141	aes											
aes:Abl.Pl	3	n	Abl.Pl	141	aeribus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus
aes:Dat.Sg	3	n	Dat.Sg	141	aerī	ī	is	e	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
aes:Acc.Pl	3	n	Acc.Pl	141	aera	a	a	a	ae	ēs	ēs	ēs	ēs	ēs	ēs	ēs
aes:Gen.Sg	3	n	Gen.Sg	141	aeris	is	is	is	is	is	is	is	is	is	is	es
aes:Gen.Pl	3	n	Gen.Pl	141	aerum	um	um	uum	uum	uum	uum	uum	uum	ibus	ibus	ibus
aes:Abl.Sg	3	n	Abl.Sg	141	aere	e										
aes:Nom.Pl	3	n	Nom.Pl	141	aera	a	ās	ae	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
aes:Acc.Sg	3	n	Acc.Sg	141	aes											
aes:Dat.Pl	3	n	Dat.Pl	141	aeribus	ibus	e	e	a	ēs	ēs	ēs	ēs	ēs	ēs	ēs
aestas:Nom.Sg	3	f	Nom.Sg	89	aestās											
aestas:Abl.Pl	3	f	Abl.Pl	89	aestātibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus
aestas:Dat.Sg	3	f	Dat.Sg	89	aestātī	ī	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
aestas:Acc.Pl	3	f	Acc.Pl	89	aestātēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
aestas:Gen.Sg	3	f	Gen.Sg	89	aestātis	is	is	is	is	is	is	is	is	is	is	is
aestas:Gen.Pl	3	f	Gen.Pl	89	aestātum	um	um	uum	uum	uum	uum	uum	uum	ubus	ibus	ibus
aestas:Abl.Sg	3	f	Abl.Sg	89	aestāte	e	e	e	e	e	e	e	e	e	e	e
aestas:Nom.Pl	3	f	Nom.Pl	89	aestātēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
aestas:Acc.Sg	3	f	Acc.Sg	89	aestātem	em	em	em	em	em	em	em	em	em	em	em
aestas:Dat.Pl	3	f	Dat.Pl	89	aestātibus	ibus	is	e	is	ēs	ēs	ēs	ēs	ēs	ēs	ēs
aestus:Nom.Sg	4	m	Nom.Sg	105	aestus	us	us	us	um	ū	ū	ū	ū	ū	ū	ū
aestus:Abl.Pl	4	m	Abl.Pl	105	aestibus	ibus	ubus	ūs	ū	ū	ū	ū	ū	ū	ū	ū
