Word	Declension	Gender	TotFreq	Declined	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
aestus:Gen.Pl	4	m	105	aestuum	uum	ū	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ōs	ibus	uī	uī
aestus:Abl.Sg	4	m	105	aestū	ū	um	um	um	um	um	um	um	um	um	um	um	um	ēs	ēs	ēs
aestus:Nom.Pl	4	m	105	aestūs	ūs	īs	īs	īs	īs	īs	a	a	a	a	a	a	a	ēs	ēs	ēs
aestus:Acc.Sg	4	m	105	aestum	um	um	um	um	um	um	um	um	um	um	um	um	um	ēs	ēs	ēs
aestus:Dat.Pl	4	m	105	aestibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ōs	ibus	uī	uī
aetas:Nom.Sg	3	f	418	aetās																
aetas:Abl.Pl	3	f	418	aetātibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	uī	uī
aetas:Dat.Sg	3	f	418	aetātī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	uī
aetas:Acc.Pl	3	f	418	aetātēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
aetas:Gen.Sg	3	f	418	aetātis	is	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs
aetas:Gen.Pl	3	f	418	aetātum	um	um	um	um	um	um	um	um	um	um	um	um	um	um	um	um
aetas:Abl.Sg	3	f	418	aetāte	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e
aetas:Nom.Pl	3	f	418	aetātēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
aetas:Acc.Sg	3	f	418	aetātem	em	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
aetas:Dat.Pl	3	f	418	aetātibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	uī	uī
aevum:Nom.Sg	2	n	91	aevum	um	um	um	um	um	um	um	um	um	um	um	um	um	um	um	um
aevum:Abl.Pl	2	n	91	aevīs	īs	īs	īs	īs	īs	īs	a	a	a	a	a	a	a	a	a	a
aevum:Dat.Sg	2	n	91	aevō	ō	ō	ō	ō	ō	ō	e	e	e	e	e	e	e	e	e	e
aevum:Acc.Pl	2	n	91	aeva	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a
aevum:Gen.Sg	2	n	91	aevī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	uī
aevum:Gen.Pl	2	n	91	aevōrum	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum
aevum:Abl.Sg	2	n	91	aevō	ō	ōrum	ō	ō	ō	ō	e	e	e	e	e	e	e	e	e	e
aevum:Nom.Pl	2	n	91	aeva	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a
aevum:Acc.Sg	2	n	91	aevum	um	um	um	um	um	um	um	um	um	um	um	um	um	um	um	um
aevum:Dat.Pl	2	n	91	aevīs	īs	īs	īs	īs	īs	īs	a	a	a	a	a	a	a	a	a	a
affectus:Nom.Sg	4	m	185	affectus	us	us	ē	ē	ēbus											
affectus:Abl.Pl	4	m	185	affectibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	uī	uī
affectus:Dat.Sg	4	m	185	affectuī	uī															
affectus:Acc.Pl	4	m	185	affectūs	ūs	ū														
affectus:Gen.Sg	4	m	185	affectūs	ūs	ū	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ōs	ibus	uī	uī
affectus:Gen.Pl	4	m	185	affectuum	uum	ū	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ōs	ibus	uī	uī
affectus:Abl.Sg	4	m	185	affectū	ū	um	um	um	um	um	um	um	um	um	um	um	um	um	uum	uum
affectus:Nom.Pl	4	m	185	affectūs	ūs	us	ē	ē	ē											
affectus:Acc.Sg	4	m	185	affectum	um	um	um	um	um	um	um	um	um	um	um	um	um	um	uum	uum
affectus:Dat.Pl	4	m	185	affectibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	uī	uī
ager:Nom.Sg	2	m	337	ager			ē	e	e	e	e	e	e	e	e	e	e	e	e	e
ager:Abl.Pl	2	m	337	agrīs	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs
ager:Dat.Sg	2	m	337	agrō	ō	ō	ō	ō	ō	ō	e	e	e	ae	a	a	a	a	a	a
ager:Acc.Pl	2	m	337	agrōs	ōs	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ōs	ēs	ēs	ēs
ager:Gen.Sg	2	m	337	agrī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ōs	ēs	ēs	ēs
ager:Gen.Pl	2	m	337	agrōrum	ōrum	ōrum	ōrum	ōrum	ōrum	ō	ō	ō	ō	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum
ager:Abl.Sg	2	m	337	agrō	ō	ō	ō	ō	ō	ō	ō	ō	ō	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum
ager:Nom.Pl	2	m	337	agrī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ōs	ēs	ēs	ēs
ager:Acc.Sg	2	m	337	agrum	um	um	um	um	um	um	um	um	um	um	um	um	um	um	um	um
ager:Dat.Pl	2	m	337	agrīs	īs	īs	īs	īs	īs	īs	a	a	a	a	a	a	a	a	a	a
agger:Nom.Sg	3	m	76	agger		ū	um	um	um	um	um	um	um	um	um	um	um	um	um	um
agger:Abl.Pl	3	m	76	aggeribus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ōs	ibus	uī	uī
agger:Dat.Sg	3	m	76	aggerī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī
agger:Acc.Pl	3	m	76	aggerēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
agger:Gen.Sg	3	m	76	aggeris	is	īs	īs	īs	īs	īs	a	a	a	a	a	a	a	a	a	a
agger:Gen.Pl	3	m	76	aggerum	um	um	um	um	um	um	um	um	um	um	um	um	um	um	um	um
agger:Abl.Sg	3	m	76	aggere	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e
agger:Nom.Pl	3	m	76	aggerēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum
agger:Acc.Sg	3	m	76	aggerem	em	ō	ō	ō	ō	ō	ō	ō	ō	ō	e	e	e	e	e	e
agger:Dat.Pl	3	m	76	aggeribus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ōs	ibus	uī	uī
agmen:Nom.Sg	3	n	360	agmen															uum	uum
agmen:Abl.Pl	3	n	360	agminibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ōs	ōs	ī	ī
agmen:Dat.Sg	3	n	360	agminī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	uī
agmen:Acc.Pl	3	n	360	agmina	a	a	a	a	a	a	a	a	a	a	a	a	a	a	ōs	īs
agmen:Gen.Sg	3	n	360	agminis	is	īs	īs	īs	īs	īs	a	a	a	a	a	a	a	a	ōs	īs
agmen:Gen.Pl	3	n	360	agminum	um	um	um	um	um	um	um	um	um	um	um	um	um	a	ōs	īs
agmen:Abl.Sg	3	n	360	agmine	e	e	e	e	e	e	e	e	e	e	e	e	e	e	ōs	īs
agmen:Nom.Pl	3	n	360	agmina	a	a	a	a	a	a	a	a	a	a	a	a	a	a	ōs	īs
agmen:Acc.Sg	3	n	360	agmen															uum	uum
agmen:Dat.Pl	3	n	360	agminibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ōs	ōs	ī	uī
ala:Nom.Sg	1	f	73	āla	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a
ala:Abl.Pl	1	f	73	ālīs	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs
ala:Dat.Sg	1	f	73	ālae	ae	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a
ala:Acc.Pl	1	f	73	ālās	ās	ās	ō	ō	ō	ō	ō	ō	ō	ō	ō	ō	ō	ō	ō	e
ala:Gen.Sg	1	f	73	ālae	ae	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a
ala:Gen.Pl	1	f	73	ālārum	ārum	ārum	ārum	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs
ala:Abl.Sg	1	f	73	ālā	ā	ā	ae	a	a	a	a	a	a	a	a	a	a	a	a	a
