Declined Noun	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
ador:nompl	n,III,nom,pl	n,III,nom,pl	m,III,acc,pl	m,III,nom,pl	m,III,nom,pl	m,III,acc,pl	m,III,acc,sg	m,III,acc,sg	m,III,nom,sg	m,III,nom,sg	m,III,nom,sg	m,III,acc,pl	m,III,acc,sg	m,III,acc,sg	m,III,acc,sg	m,III,acc,sg
ador:genpl	n,III,gen,pl	m,III,gen,pl	m,III,gen,pl	m,III,acc,pl	m,III,acc,pl	m,III,acc,pl	m,III,acc,sg	m,III,acc,sg	m,III,acc,sg	m,III,acc,sg	m,III,acc,sg	m,III,acc,sg	m,III,acc,sg	m,III,acc,sg	m,III,acc,sg	m,III,acc,sg
ador:accpl	n,III,acc,pl	n,III,nom,pl	m,III,acc,pl	m,III,nom,pl	m,III,nom,pl	m,III,acc,pl	m,III,acc,sg	m,III,acc,sg	m,III,nom,sg	m,III,nom,sg	m,III,nom,sg	m,III,acc,pl	m,III,acc,sg	m,III,acc,sg	m,III,acc,sg	m,III,acc,sg
adulter:nomsg	m,II,nom,sg	m,III,nom,sg	m,II,acc,sg	m,II,acc,sg	m,II,nom,sg	f,I,nom,sg	m,III,nom,sg	m,II,nom,sg	m,II,nom,sg	m,II,nom,sg	m,II,nom,sg	m,II,nom,sg	m,II,acc,sg	m,II,acc,sg	f,I,nom,sg	m,II,nom,sg
adulter:gensg	m,II,gen,sg	m,II,nom,sg	m,II,nom,sg	m,II,nom,pl	m,II,nom,sg	m,II,acc,sg	m,III,nom,pl	m,II,nom,pl	m,II,nom,pl	m,II,nom,pl	m,II,nom,pl	m,II,nom,pl	m,II,nom,pl	m,II,nom,pl	m,II,nom,pl	m,II,nom,pl
adulter:accsg	m,II,acc,sg	m,II,acc,sg	m,II,acc,sg	m,II,acc,sg	m,II,acc,sg	m,II,acc,sg	m,II,acc,sg	m,II,acc,sg	m,II,acc,sg	m,II,acc,sg	m,II,acc,sg	m,II,acc,sg	m,II,acc,sg	m,II,acc,sg	m,II,acc,sg	m,II,acc,sg
adulter:nompl	m,II,nom,pl	m,II,nom,sg	m,II,nom,sg	m,II,nom,pl	m,II,nom,sg	m,II,acc,sg	m,III,nom,pl	m,II,nom,pl	m,II,nom,pl	m,II,nom,pl	m,II,nom,pl	m,II,nom,pl	m,II,nom,pl	m,II,nom,pl	m,II,nom,pl	m,II,nom,pl
adulter:genpl	m,II,gen,pl	m,III,gen,pl	f,III,acc,pl	m,III,acc,pl	m,III,acc,sg	m,III,acc,pl	m,III,acc,sg	m,III,acc,pl	m,III,acc,pl	m,III,acc,pl	m,III,acc,pl	m,III,acc,pl	m,III,acc,pl	m,III,acc,pl	m,III,acc,pl	m,III,acc,pl
adulter:accpl	m,II,acc,pl	m,III,nom,pl	m,III,nom,pl	m,II,nom,pl	m,III,nom,sg	m,III,nom,pl	m,III,nom,pl	m,III,nom,pl	m,III,nom,pl	m,III,nom,pl	m,III,nom,pl	m,III,nom,pl	m,III,nom,pl	m,III,nom,pl	m,III,nom,pl	m,III,nom,pl
adulter2:nomsg	f,II,nom,sg	f,I,nom,sg	f,I,nom,sg	f,I,acc,sg	f,I,nom,sg	f,I,nom,sg	f,I,nom,sg	f,I,nom,sg	f,I,nom,sg	f,I,nom,sg	f,I,nom,sg	f,I,nom,sg	f,I,acc,sg	f,I,acc,sg	f,I,nom,sg	f,I,nom,sg
